MonthlyPerformanceAssessment-Project-NormalSalesTotal,PurchaseTarget-PurchaseTarget,"SigningTarget(Unit:10,000)-Normalpendingsigning","SigningTarget(Unit:10,000)-Tobewithdrawnorterminated","SigningTarget(Unit:10,000)-Signedbutnottransferred","SigningTarget(Unit:10,000)-Amongthem:SignableinJuly","SigningTarget(Unit:10,000)-Newandsigned",ResourceConversion-SignedConversionRateofPendingSignatures(ExcludingIntendedWithdrawals),ResourceConversion-New-to-signconversionrate,Unnamed: 9
Yunhe Jinshang,12000.0,23031,3671,0,3800,4800,,,
Gucui Yinxiu,1385.0,1419,0,0,941,907,,,
Cuiwan Zhongcheng,6000.0,4930,993,0,3937,3900,,,"(To be signed and can be signed, including 10 sets of trade-in worth 16.77 million)"
Future Times,,747,,,747,,,,
City Skyline,5500.0,2849,322,0,2312,,,,
Zhoukou Longtang,1600.0,865,275,0,590,1120,,,
Star Map,1200.0,713,0,0,713,780,,,
Yuntu,1155.0,359,66,0,293,924,,,
Lanjiao,400.0,0,0,0,0,400,,,
Yunlu,150.0,0,599,0,0,150,,,
Lake and City,,,,,,,,,
Fangdingyi,,,,,,,,,
Tail-end parking spaces,300.0,93,24,5,64,240,,,
Tail-end commercial office,221.0,0,0,0,0,221,,,
Tail-end residential units,,,,,,,,,
Self-channel,,/,/,/,/,/,,,
