Project,BaselineTask-PurchaseCommitment,BaselineTask-Signing,CustomerPurchaseAssessment-AlreadyCommitted,CustomerPurchaseAssessment-SprintNewAdditions,CustomerPurchaseAssessment-PurchaseRushTarget,CustomerPurchaseAssessment-OpeningEconomicCompletionRate,SigningAssessment-0721AlreadyConvertedandSigned,SigningAssessment-Signedbutnottransferred,SigningAssessment-Signableandtobesigned,SigningAssessment-Trade-insignable+FX,SigningAssessment-Newandsigned,SigningAssessment-ExpectedSigning,SigningAssessment-OpeningEconomicCompletionRate
Total Company,52500,58000,14980,,,,13451.0,1801.0,11755.0,13063.0,11711.0,51781.0,
Yunhe Jinshang,18000,21500,2554,,,,2441.0,1124.0,3495.0,8300.0,2071.0,17431.0,
Gucui Yinxiu,2140,2600,945,1350.0,2295.0,,1909.0,0.0,0.0,,395.0,2304.0,
Cuiwan Zhongcheng,9500,10400,3603,2130.0,5733.0,,2094.0,0.0,1994.0,2418.0,1065.0,7571.0,
Future Times,700,3880,494,0.0,494.0,,1014.0,,226.0,,,1240.0,
City Skyline,11000,9360,3215,2009.0,5224.0,,2093.0,193.0,1028.0,927.0,1200.0,5441.0,
Zhoukou Longtang,2850,2800,891,455.0,1346.0,,330.0,133.0,427.0,605.0,260.0,1755.0,
Star Map,2250,2450,1221,900.0,2121.0,,676.0,0.0,319.0,813.0,650.0,2458.0,
Yuntu,2250,2300,478,557.0,1035.0,,545.0,68.0,97.0,,340.0,1050.0,
Lanjiao,400,400,0,400.0,400.0,,0.0,0.0,0.0,,400.0,400.0,
Yunlu,150,150,0,143.0,143.0,,0.0,0.0,0.0,,143.0,143.0,
Lake and City,110,110,0,110.0,110.0,,,,,,110.0,110.0,
Tail-end parking spaces (including large orders),300,300,127,,,,111.0,61.0,51.0,,,,
Tail-end commercial office,220,220,222,0.0,222.0,,13.0,222.0,0.0,,0.0,235.0,
Tail-end residential units,230,530,0,100.0,100.0,,0.0,0.0,340.0,,100.0,440.0,
Work Offset,2400,1000,1193,,5000.0,/,2222.0,,3778.0,,,6000.0,/
