MonthlyPerformanceAssessment-Project,OpeningEdition-PurchaseCommitment,OpeningEdition-Signing,RegionalVersion-PurchaseCommitment,RegionalVersion-Signing,PurchaseBottomLine(ProjectsExcludingOffsetting)-AlreadyCommitted,PurchaseBottomLine(ProjectsExcludingOffsetting)-ProjectedNewAdditions,PurchaseBottomLine(ProjectsExcludingOffsetting)-ExpectedPurchase,PurchaseBottomLine(ProjectsExcludingOffsetting)-0715Sprint,PurchaseBottomLine(ProjectsExcludingOffsetting)-Difference,PurchaseBottomLine(ProjectsExcludingOffsetting)-OpeningEconomicCompletionRate,PurchaseBottomLine(ProjectsExcludingOffsetting)-Regionalcompletionrate,WeeklyMeeting-SprintVersion-SprintNewAdditions,WeeklyMeeting-SprintVersion-SprintAchievement,WeeklyMeeting-SprintVersion-OpeningEconomicCompletionRate,WeeklyMeeting-SprintVersion-Regionalcompletionrate,SigningBaseline(ProjectsExcludingOffsetting)-Alreadyconvertedtosigning,SigningBaseline(ProjectsExcludingOffsetting)-Normalpendingsigning①②③④mutuallyexclusive,SigningBaseline(ProjectsExcludingOffsetting)-①Amongthem:Intendedtowithdrawandcancel,SigningBaseline(ProjectsExcludingOffsetting)-②Amongthem:Signedbutnottransferred,SigningBaseline(ProjectsExcludingOffsetting)-③Amongthem:tobesignedandsignable,SigningBaseline(ProjectsExcludingOffsetting)-④Amongthem:Trade-insignable+FX,SigningBaseline(ProjectsExcludingOffsetting)-Newandsigned,SigningBaseline(ProjectsExcludingOffsetting)-ExpectedSigning,SigningBaseline(ProjectsExcludingOffsetting)-0715SprintSigning,SigningBaseline(ProjectsExcludingOffsetting)-Difference,SigningBaseline(ProjectsExcludingOffsetting)-OpeningEconomicCompletionRate,SigningBaseline(ProjectsExcludingOffsetting)-Regionalcompletionrate,SigningBaseline(ProjectsExcludingOffsetting)-SignedConversionRate,"SpecialDataNotes(Trade-in,HighEvaluation,UnlaunchedPurchase,etc.)",UnsignedandUnsignable
Total including industrial compensation,,,,,,,,42011.0,,,,,,,,,,,,,,,,51996,,,,,,
Normal Sales Total,,,,,,,,36461.0,,,,,,,,,,,,,,,,45996,,,,,,
Yunhe Jinshang,18000.0,21500.0,20100.0,27000.0,2554.0,,6005.0,10801.0,,,,,,,,2441,23514.0,7267.0,1124.0,,8300.0,,,18437,,,,,,
Gucui Yinxiu,2140.0,2600.0,1400.0,2800.0,945.0,1350.0,,2315.0,,,,,,,,1909,478.0,0.0,0.0,0.0,0.0,395.0,,1939,,,,,"1 set of trade-in pending signing for 4.78 million, expected to be signed in August",
Cuiwan Zhongcheng,9500.0,10400.0,11500.0,12210.0,3603.0,,5733.0,4946.0,,,,,,,,2094,6128.0,1410.0,0.0,1994.0,2418.0,,,6280,,,,,"Includes 15 old-for-new units, 24.18 million yuan",
Future Times,700.0,3880.0,170.0,610.0,494.0,,494.0,492.0,,,,,,,,1014,226.0,,,226.0,,,,1238,,,,,,
City Skyline,11000.0,9360.0,11570.0,10900.0,3215.0,,,6027.0,,,,,,,,2093,3469.0,1304.0,193.0,,927.0,1200.0,,5553,,,,,,
Zhoukou Longtang,2850.0,2800.0,3000.0,3000.0,891.0,,1226.0,1985.0,,,,455.0,,,,330,1296.0,129.0,133.0,,605.0,260.0,,2303,,,,,"It includes 8 sets of FX, 6.05 million; 6 sets of 17# online signing not unlocked, 4.27 million.",
Star Map,2250.0,2450.0,2500.0,2620.0,1221.0,,2020.0,2044.0,,,,,,,,676,1132.0,0.0,0.0,,813.0,650.0,,2049,,,,,"It includes 11 sets of FX, 8.13 million yuan.",
Yuntu,2250.0,2300.0,2500.0,2300.0,478.0,,1035.0,1200.0,,,,,,,,545,231.0,66.0,68.0,97.0,,340.0,,1202,,,,,,
Lanjiao,400.0,400.0,400.0,400.0,0.0,,400.0,400.0,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,400.0,,400,,,,,,
Yunlu,150.0,150.0,6000.0,6000.0,0.0,,143.0,150.0,,,,,,,,0,599.0,599.0,0.0,0.0,0.0,143.0,,150,,,,,,
Lake and City,110.0,110.0,110.0,110.0,0.0,,110.0,110.0,,,,,,,,,,,,,,110.0,,110,,,,,,
Fangdingyi,0.0,0.0,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,0,,,,,,
