"xxxCompany'sProductionPlanforMarch19,2012-March25,2012-SerialNumber","xxxCompany'sProductionPlanforMarch19,2012-March25,2012-EngineeringName","xxxCompany'sProductionPlanforMarch19,2012-March25,2012-Project","xxxCompany'sProductionPlanforMarch19,2012-March25,2012-TotalProjectVolume(T)","xxxCompany'sProductionPlanforMarch19,2012-March25,2012-Quantity(pieces)","xxxCompany'sProductionPlanforMarch19,2012-March25,2012-QuantityCompletedThisMonth(T)","xxxCompany'sProductionPlanforMarch19,2012-March25,2012-Materialarrivalstatus","xxxCompany'sProductionPlanforMarch19,2012-March25,2012-2012/3/18-March12--March18Plan","xxxCompany'sProductionPlanforMarch19,2012-March25,2012-2012/3/18-Remark"
1,HuaZhi Plaza,TD22-25 Floor,30.0,22.0,30.0,All materials have arrived,All completed,
1 ,HuaZhi Plaza,TD26-29 Floor,90.0,54.0,90.0,Part of the materials are missing,All completed,
1 ,HuaZhi Plaza,"QL4- D1, D2, B1 Steel Columns",90.0,54.0,90.0,Material plan has been submitted,"Cutting and assembly completed, ready for riveting and assembly.",
1 ,HuaZhi Plaza,"QL4- D1, D2, B1 Steel Girders",250.0,28.0,220.0,All materials have arrived,All completed,
1 ,HuaZhi Plaza,"QL4- C3, C4 Steel Columns",250.0,54.0,220.0,All materials have arrived,All completed,
1 ,HuaZhi Plaza,"QL4- C3, C4 Steel Girders",240.0,46.0,240.0,All materials have arrived,All completed,
1 ,HuaZhi Plaza,"QL4- C3, C4 Steel Girders",240.0,37.0,240.0,All materials have arrived,"C3 area completed, C4 area partially completed",
2,Fulin Metropolis,2F Steel Column,95.0,23.0,40.0,Materials not complete,"Start cutting and assembling, produce finished products according to the plan.",
3,Chuanqi New Energy Vehicle,"Steel columns, steel beams",330.0,330.0,60.0,All materials have arrived,All completed,
3 ,Chuanqi New Energy Vehicle,Column support / Horizontal bracing / Tie rod,30.0,20.0,30.0,All materials have arrived,"All cow legs, auxiliary beams, other components, and attachments have been completed.",
3 ,Chuanqi New Energy Vehicle,Crane Girders / Truss System,150.0,96.0,,Materials not arrived,To be determined according to the material and arrangement situation,
4,Sichuan Jianhua Pipe Pile,B Workshop Crane Girders and Trusses,130.0,110.0,90.0,All materials have arrived,Truss Angle Steel Completed,
4 ,Sichuan Jianhua Pipe Pile,"B Workshop Platform Beams, Columns",130.0,20.0,90.0,All materials have arrived,All completed,
4 ,Sichuan Jianhua Pipe Pile,"Skylight frame, mixing building",130.0,,90.0,All materials have arrived,Mixer Building Completed,
4 ,Sichuan Jianhua Pipe Pile,A and B Yard Crane Girders,160.0,280.0,,All materials have arrived,,
4 ,Sichuan Jianhua Pipe Pile,Truss and Support of Yards A and B,113.0,,50.0,All materials have arrived,The remaining column spacing supports for the remaining part of lines 24-51 are completed.,
5,FAW-Volkswagen No.7,Steel Columns and Beams,260.0,,260.0,Part of the materials are missing,,
5 ,FAW-Volkswagen No.7,"Column supports, tie rods,隅撑 (bracing)",30.0,,30.0,All materials have arrived,All column spacing supports and column top tie rods are completed.,
6,Jiannanchun,Crane Girders / Truss System,275.0,220.0,220.0,All materials have arrived,Start rivet welding in an interlaced manner,
6 ,Jiannanchun,25-30 Axis Steel Frame,30.0,78.0,,All materials have arrived,,
7,Jiannanchun,Small workshop厂房,6.0,,6.0,All materials have arrived,Complete and dispatch before March 20th.,
8,Laforte,small steel column,10.0,65.0,10.0,All materials have arrived,H-beam and supplementary small steel columns production completed and dispatched.,
Total,Total,,,,,,,
