Unnamed: 0,Click column heading for variable definition,Unnamed: 2,Exemption/Credit,Unnamed: 4,Age,Income Ceiling,Veteran Status,Other Criteria,Disability,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Benefits Continue for Surviving Spouses,Age for Spouse,Type of Taxes Reduced,Gov't Bearing Tax Loss,How is Benefit Disbursed,Application Window,Application Frequency,Local Options,Unnamed: 23,Unnamed: 24,SFPT ID,Cannot Also Claim the Following Programs,Unnamed: 27,Unnamed: 28
State,Program Name,Table,Amount,Type,,,,,T,P,Bl,LL,Par,O,,,,,,,,Adpt.,Ben.,Elig.,,,Notes on Benefit,Notes on Other Criteria
AK,Exemption for Senior Citizens with Local Option,Seniors,150000,$ Exemption,65,,,X,,,,,,,Yes,60,,Local,Prop Tax Exempt.,Local Option,Local Option,,Inc.,Both,AK103(a),AK103(b),"Localities may approve an additional exemption higher than the $150,000 in statute and set eligibility criteria for the additional exemption.",
AK,Exemption for Disabled Veterans with Local Option,Veterans,150000,$ Exemption,,,Disabled Vet,X,,0.5,,,,,Yes,60,,Local,Prop Tax Exempt.,Local Option,Local Option,,Inc.,Both,AK103(b),AK103(a),"Localities may approve an additional exemption higher than the $150,000 in statute and set eligibility criteria for the additional exemption.",Widows/widowers under age 60 of disabled veteran or veteran killed in service may be eligible at local option
AL,"Homestead Exemption (Under 65, State taxes)",General,40000,$ Exemption,,,,,,,,,,,,,State,State,Prop Tax Exempt.,By Dec. 31,One time,,,,AL103(a),,Up to 160 acres of residential property eligible,
AL,"Homestead Exemption (Under 65, Local taxes)",General,20000,$ Exemption,,,,,,,,,,,,,Local,Local,Prop Tax Exempt.,By Dec. 31,One time,,Inc.,,AL103(b),,"Homesteads receive exemption of $2,000 assessed value ($20,000 market value) for county-levied taxes (except countywide and school district school taxes). In addition, local governments may exempt up to $4,000 assessed value ($40,000 market value) at local option. No more than 160 acres may be exempted.",
AL,"Veteran, Widow Exemption",Veterans,1,% Exemption,,,Disabled Vet,,,,,,,X,Yes,,,Local,Prop Tax Exempt.,By Dec. 31,One time,,,,AL104(a),AL104(b),,Exemption is for the home of any veteran acquired by a specially adapted housing grant.
AL,Incompetent Veteran Exemption,Veterans,30000,$ Exemption,,,Disabled Vet,,,,,,,X,,,,Local,Prop Tax Exempt.,By Dec. 31,One time,,,,AL104(b),AL104(a),,An incompetent veteran has been rated totally and permanently disabled by reason of insanity and has an appointed guardian.
AL,Homestead Exemption (Disabled),Disabled,1,% Exemption,,,,,X,,,,,,,,,Local,Prop Tax Exempt.,By Dec. 31,Annual,,,,AL401,,Up to 160 acres of residential property eligible.,The Department of Revenue defines permanently and totally disabled and issues the certifications of disability. 
AL,"Homestead Exemption (Seniors, State taxes)",Seniors,1,% Exemption,65,,,,,,,,,,,,State,State,Prop Tax Exempt.,By Dec. 31,Annual,,,,AL402(a),AL402(b-e),Up to 160 acres of residential property eligible.,
AL,"Home Exemption (Low Income Seniors, Local taxes)",Seniors,1,$ Exemption,65,12000,,,,,,,,,,,Local,Local,Prop Tax Exempt.,By Dec. 31,Annual,,,,AL402(b),"AL402(a,d,c)","Up to 160 acres of residential property eligible. Benefit is full exemption if combined taxable income on federal tax return is not more than $12,000, but if over limit and AGI on state tax return is less than $12,000 max benefit is $5,000 assessed value exemption ($50,000 market value).",
