Unnamed: 0,Click column heading for variable definition,Exemption/Credit,Unnamed: 3,Disability,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Income Ceiling,Other Criteria,Benefits Continue for Surviving Spouses,Type of Taxes Reduced,Gov't Bearing Tax Loss,How is Benefit Disbursed,Application Window,Application Frequency,Local Options,Unnamed: 19,Unnamed: 20,SFPT ID,Cannot Also Claim the Following Programs,Unnamed: 23,Unnamed: 24
State,Program Name,Amount,Type,T,P,Bl,LL,Par,O,,,,,,,,,Adpt.,Ben.,Elig.,,,Notes on Benefit,Notes on Other Criteria
AL,Homestead Exemption (Disabled),1,% Exemption,X,,,,,,,,,,Local,Prop Tax Exempt.,By Dec. 31,Annual,,,,AL401,,Up to 160 acres of residential property eligible.,The Department of Revenue defines permanently and totally disabled and issues the certifications of disability. 
AL,"Homestead Exemption (Blind, State taxes)",1,% Exemption,,,X,,,,,,,State,State,Prop Tax Exempt.,By Dec. 31,Annual,,,,AL402(d),AL402(a-c),Up to 160 acres of residential property eligible,
AL,"Homestead Exemption (Blind, Local taxes)",50000,$ Exemption,,,X,,,,,,,"County, School",Local,Prop Tax Exempt.,By Dec. 31,Annual,,,,AL402(e),AL402(a-c),Up to 160 acres of residential property eligible.,
AZ,Disabled Exemption,38940,$ Exemption,X,,,,,,32447,X,,,Local,Prop Tax Exempt.,Jan 1 - Mar 1,One time,,,,AZ101(a),AZ101(b),,"The property's assessed value cannot exceed $26,458, market value ≈ $264,580. Income ceiling is $38,926 if children are present."
CT,Exemption for the Disabled with Local Option,1428.57142857143,$ Exemption,X,,,,,,,,,,State,Prop Tax Exempt.,By Oct 1,2 Years,,Inc.,,CT101,,"Localities have the option to exempt an additional $1,000 of assessed value ($1,429 market value), with the additional exemption only available to those whose income does not exceed $24,000 if married or $21,000 if single.",
CT,Exemption for the Blind with Local Option,4285.71428571429,$ Exemption,,,X,,,,,,,,Local,Prop Tax Exempt.,By Jan 31,One time,,Inc.,,CT109,,"Municipalities may provide an additional exemption from assessed value of up to $2,000. Only married households with income under $16,000, or unmarried individuals with incomes under $14,000, qualify for this additional local exemption.
Municipalities may, with the approval of their legislative body, provide an additional exemption from assessed value of up to $2,000. Only married households with income under $16,000, or unmarried individuals with incomes under $14,000, qualify for this additional local exemption.",
DC,Disabled Property Owner Tax Relief,0.5,% Credit,X,,,,,,133100,,,,Local,Prop Tax Credit,Oct 1 - Mar 31,One time,,,,DC106(b),DC106(a),"If a properly completed and approved application is filed from April 1 to September 30, the property will receive one-half (50%) of the deduction reflected on the second installment (and full deductions for all tax years in the future).",
FL,Exemption for Totally Disabled (w/Income ceiling),1,% Exemption,,,X,,X,X,28713,,,,Local,Prop Tax Exempt.,Jan 1 - Mar 1,One time,,,,FL101,,,Applicant must be paraplegic or other totally disabled person who uses a wheelchair for mobility or who is legally blind.
FL,Exemption for the Blind and the Disabled,500,$ Exemption,X,,X,,,,,,,,State,Prop Tax Exempt.,Jan 1 - Mar 1,One time,,,,FL106(b),FL106(a),,Homestead exemption (FL104) is required as a pre-condition to applying for this add-on exemption.
