Unnamed: 0,Click column heading for variable definition,Exemption/Credit,Unnamed: 3,Type of Taxes Reduced,Gov't Bearing Tax Loss,How is Benefit Disbursed,Application Window,Application Frequency,Local Options,Unnamed: 10,Unnamed: 11,SFPT ID,Cannot Also Claim the Following Programs,Unnamed: 14,Unnamed: 15
State,Program Name,Amount,Type,,,,,,Adpt.,Ben.,Elig.,,,Notes on Benefit,Notes on Other Criteria
AL,"Homestead Exemption (Under 65, State taxes)",40000,$ Exemption,State,State,Prop Tax Exempt.,By Dec. 31,One time,,,,AL103(a),,Up to 160 acres of residential property eligible,
AL,"Homestead Exemption (Under 65, Local taxes)",20000,$ Exemption,Local,Local,Prop Tax Exempt.,By Dec. 31,One time,,Inc.,,AL103(b),,"Homesteads receive exemption of $2,000 assessed value ($20,000 market value) for county-levied taxes (except countywide and school district school taxes). In addition, local governments may exempt up to $4,000 assessed value ($40,000 market value) at local option. No more than 160 acres may be exempted.",
AR,Homestead Tax Credit (Amendment 79),350,$ Credit,,State,Prop Tax Credit,By Oct 15,One time,,,,AR101,AR102,,
AZ,Homeowner Rebate for School Primary Levy,0.4719,% Credit,School,Shared,Prop Tax Credit,,,,,,AZ108,,The max credit is $600. State reimbursement to a county is capped at $1 million.,
CA,Homeowners' Exemption,7000,$ Exemption,,State,Prop Tax Exempt.,By Feb 15,One time,,,,CA103,,,Owner must own as of Jan. 1 of prior year. 
DC,Homestead Deduction,73350,$ Exemption,,Local,Prop Tax Exempt.,Oct 1 - Mar 31,One time,,,,DC102,,,Benefit applies to a single homestead lot with no more than 5 dwelling units.
FL,Homestead Exemption (All taxes),25000,$ Exemption,,Local,Prop Tax Exempt.,Jan 1 - Mar 1,One time,,,,FL104(a),,,
FL,Homestead Exemption (Excludes school taxes),25000,$ Exemption,Excl. school taxes,Local,Prop Tax Exempt.,Jan 1 - Mar 1,One time,,,,FL104(b),,"This exemption is only applied to assessed value greater than $50,000. Thus, assessed value must be $75,000+ to get the full exemption. Under the homestead exemption (FL104), the first $25,000 is exempt from all taxes (FL104a), and there is an additional $25,000 exemption on values above $50,000 for all taxes except school taxes (FL104b).",
GA,General Homestead Exemption,5000,$ Exemption,,Local,Prop Tax Exempt.,Jan 1 - Apr 1,Annual,,,,GA102,,,
IA,Homestead Credit,4850,$ Exemption,,State,Prop Tax Exempt.,By Jul 1,One time,,,,IA104,,Exemption is applied to actual value (market value) before rollbacks are applied. ,
ID,Homeowner's Exemption,0.5,% Exemption,,Local,Prop Tax Exempt.,By Apr 15,One time,,,,ID101,,"The maximum exemption is $100,000 of assessed value ($126,984 of market value). The Homeowner's Exemption (ID101) must be taken before a reduction in taxes under the Circuit Breaker program (ID103).",
IL,General Homestead Exemption with Local Option,,Local Option,,Local,Prop Tax Exempt.,Local Option,Local Option,,Both,Both,IL101,,"County assessors may determine the amount of the homestead exemption, up to a maximum of $10,000 assessed value in Cook County ($30,000 market value) and $6,000 of assessed value ($18,000 market value) in all other counties. ",
IL,Tax Credit for Residential Real Property Taxes,0.05,% Credit,,State,Income Tax Credit,On inc. tax return,Annual,,,,IL103,,,"Income ceiling is $250,000 for taxpayers who are not married."
IN,Homestead Standard Deduction,45000,$ Exemption,,Local,Prop Tax Exempt.,Calendar Year,Annual,,,,IN101,,"The exemption is the lesser of $45,000 or 60% of assessed value. Thus, 60% exemption applies if value < $75,000. The Standard Homestead Deduction (IN101) must be taken before the Supplemental Homestead Deduction (IN109) and all other property tax relief programs.",Mobile homes eligible. 
IN,Supplemental Homestead Deduction,0.35,% Exemption,,Local,Prop Tax Exempt.,Calendar Year,Annual,,,,IN109,,"The 35% exemption is only applied to the first $600,000 in assessed value; there is a 25% exemption on values greater than $600,000. The Supplemental Deduction (IN109) must be taken after the Standard Deduction (IN101), but before all other property tax relief programs.",Application deadline is March 31 for mobile home owners.
KS,Exemption from School Levy,20000,$ Exemption,Other,State,Prop Tax Exempt.,,,,,,KS101,,"This program exempts $20,000 of appraised value from the statewide portion of the school levy (equivalent to $46 property tax credit for homes worth $20,000+). ",
