Unnamed: 0,Click column heading for variable definition,Exemption/Credit,Unnamed: 3,Age,Income Ceiling,Veteran Status,Other Criteria,Benefits Continue for Surviving Spouses,Gov't Bearing Tax Loss,How is Benefit Disbursed,Application Window,Application Frequency,Local Options,Unnamed: 14,Unnamed: 15,SFPT ID,Cannot Also Claim the Following Programs,Unnamed: 18,Unnamed: 19
State,Program Name,Amount,Type,,,,,,,,,,Adpt.,Ben.,Elig.,,,Notes on Benefit,Notes on Other Criteria
AZ,Widow and Widower Exemption,38940,$ Exemption,,32447,,X,,Local,Prop Tax Exempt.,Jan 1 - Mar 1,One time,,,,AZ101(b),AZ101(a),,"Applicant must be a widow or widower. The property's assessed value cannot exceed $26,458, market value ≈ $264,580. Income ceiling is $38,926 if children are present."
DC,Lower Income Home Ownership Tax Abatement,1,% Credit,,74400,,X,,Local,Prop Tax Credit,By Sep 30,5 Years,,,,DC103,,This is a five year abatement. ,"Purchase price of property cannot exceed $464,000. Income ceiling depends on household size: 1 person ($65,100), 2 ($74,400), 3 ($83,700), 4 ($92,940), 5 ($100,380), 6 ($107,820), 7 ($115,260), 8 ($122,700). Income ceilings are equal to 120% of the lower income guidelines for low-income housing assistance in the Washington MSA for 2018 (Source: DC Office of Tax and Revenue). Fair market value of the unit or residential property may not exceed 80% of the median sale price for homes within the District of Columbia in the prior year."
DC,DC Gov't Employees First Time Home Buyers Program,,Other,,,,X,,Local,Prop Tax Credit,,One time,,,,DC104,,"Tax credit phases out over 5 years: 80% (Year 1), 60% (Year 2), 40% (Year 3), and 20% (Years 4-5). This tax credit is not available for homes acquired after March 30, 2015, and will be completely phased out by 2020.",Applicant must be a DC public employee or public charter school teacher and first-time homebuyer in DC.
DC,Lower Income Long-Term Homeowner Credit,,Other,,82040,,X,,Local,Income Tax Credit,By Dec 31,Annual,,,,DC110,,Credit is equal to the amount by which current tax liability exceeds 105% of previous year tax liability.,"Must have occupied property as primary residence for 7 consecutive years. Must also receive homestead deduction. Taxpayers receiving this credit cannot also claim the Targeted Housing Historic Credit. Income limit for a single household is $41,020"
FL,Exemption for Deployed Active Duty Military,,Other,,,,X,,Local,Prop Tax Exempt.,Jan 1 - Mar 1,Annual,,,,FL006,,Exemption equals percentage of year the service member was deployed in military operations outside the 50 states.,Program is for military personnel deployed outside U.S. on active duty in prior year.
FL,First Responders Total Disability Exemption,1,% Exemption,,,,X,Yes,Local,Prop Tax Exempt.,Local Option,One time,,,,FL103(b),,,Applicant must have received specially adapted housing assistance and use a wheelchair. First responder eligible if impairment caused in the line of duty.
FL,Exemption for Widows and Widowers,500,$ Exemption,,,,X,,State,Prop Tax Exempt.,Jan 1 - Mar 1,One time,,,,FL106(a),FL106(b),,Applicant must be a widow or widower. Homestead exemption (FL104) is required as a pre-condition to applying for this add-on exemption.
GA,Exempt. for Spouses of Police/Fire Killed in Duty,1,% Exemption,,,,X,,Local,Prop Tax Exempt.,Jan 1 - Apr 1,One time,,,,GA111,,,Applicant must be the surviving spouse of a police officer or firefighter killed in the line of duty.
IL,Natural Disaster Homestead Exemption,,Other,,,,X,Yes,Local,Prop Tax Exempt.,Local Option,Annual,,,,IL113,,Exemption equals the difference in assessed value on the new house and value of the destroyed house in prior year (i.e. assessed value held constant under program).,Program is for people rebuilding homes destroyed by natural disasters. The rebuilt structure may not be more than 110% of the square footage of the original residential structure. The residence must be rebuilt within 2 years following the natural disaster. 
