Unnamed: 0,Click column heading for variable definition,Exemption/Credit,Unnamed: 3,Age,Income Ceiling,Other Criteria,Benefits Continue for Surviving Spouses,Age for Spouse,Type of Taxes Reduced,Gov't Bearing Tax Loss,How is Benefit Disbursed,Application Window,Application Frequency,Local Options,Unnamed: 15,Unnamed: 16,SFPT ID,Cannot Also Claim the Following Programs,Unnamed: 19,Unnamed: 20
State,Program Name,Amount,Type,,,,,,,,,,,Adpt.,Ben.,Elig.,,,Notes on Benefit,Notes on Other Criteria
AK,Exemption for Senior Citizens with Local Option,150000,$ Exemption,65,,X,Yes,60,,Local,Prop Tax Exempt.,Local Option,Local Option,,Inc.,Both,AK103(a),AK103(b),"Localities may approve an additional exemption higher than the $150,000 in statute and set eligibility criteria for the additional exemption.",
AL,"Homestead Exemption (Seniors, State taxes)",1,% Exemption,65,,,,,State,State,Prop Tax Exempt.,By Dec. 31,Annual,,,,AL402(a),AL402(b-e),Up to 160 acres of residential property eligible.,
AL,"Home Exemption (Low Income Seniors, Local taxes)",1,$ Exemption,65,12000,,,,Local,Local,Prop Tax Exempt.,By Dec. 31,Annual,,,,AL402(b),"AL402(a,d,c)","Up to 160 acres of residential property eligible. Benefit is full exemption if combined taxable income on federal tax return is not more than $12,000, but if over limit and AGI on state tax return is less than $12,000 max benefit is $5,000 assessed value exemption ($50,000 market value).",
AL,"Home Exemption (High Income Seniors, Local taxes)",20000,$ Exemption,65,,,,,County,Local,Prop Tax Exempt.,By Dec. 31,Annual,,Inc.,,AL402(c),"AL402(a,d,e)","Exemption of up to $2,000 assessed value ($20,000 market value) applies to county taxes only. Local governments may opt to exempt $4,000 from assessed value ($40,000 market value). Up to 160 acres of residential property eligible. ",
AZ,Elderly Assistance Fund: School Tax Reduction,,Other,65,45000,X,,,School,Local,Prop Tax Credit,By Sep 1,3 years,,,,AZ102,,"Benefit extends to homestead and up to 10 acres of land. Amount of benefit is based on the balance in the Elderly Assistance Fund; each year it is disbursed proportionately among all eligible property owners. Applicants must be enrolled in the Senior Valuation Protection Program (AZ 107). Income limit is $35,000 for a single individual.",This program is only available in Maricopa County. Claimant must have occupied property as primary residence for two years. Applicants must live in an organized school district and be eligible for the property assessment freeze (AZ 107). 
CO,Senior Property Tax Exemption,0.5,% Exemption,65,,X,Yes,,,State,Prop Tax Exempt.,By Jul 15,One time,,,,CO103,,"The 50% exemption is only applied to the first $200,000 of actual value.",Applicant must have owned homestead for the past ten years.
DC,Senior Citizen Property Owner Tax Relief,0.5,% Credit,65,133100,,,,,Local,Prop Tax Credit,Oct 1 - Mar 31,One time,,,,DC106(a),DC106(b),"If a properly completed and approved application is filed from April 1 to September 30, the property will receive one-half (50%) of the deduction reflected on the second installment (and full deductions for all tax years in the future).",
GA,Home Exemption for Elderly (County taxes),10000,$ Exemption,65,10000,,,,County,Local,Prop Tax Exempt.,Jan 1 - Apr 1,Annual,,,,GA101,,,"Income ceiling excludes up to $66,912 in income from retirement sources, pensions, or disability payments."
GA,School Property Tax Exemption for Elderly,25000,$ Exemption,62,10000,,,,School,State,Prop Tax Exempt.,Jan 1 - Apr 1,One time,,Inc.,,GA108,,,"Income ceiling excludes up to $66,912 in income from retirement sources, pensions, or disability payments."
