Unnamed: 0,Click column heading for variable definition,Exemption/Credit,Unnamed: 3,Veteran Status,Age,Income Ceiling,Other Criteria,Disability,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Benefits Continue for Surviving Spouses,Type of Taxes Reduced,Gov't Bearing Tax Loss,How is Benefit Disbursed,Application Window,Application Frequency,Local Options,Unnamed: 21,Unnamed: 22,SFPT ID,Cannot Also Claim the Following Programs,Unnamed: 25,Unnamed: 26
State,Program Name,Amount,Type,,,,,T,P,Bl,LL,Par,O,,,,,,,Adpt.,Ben.,Elig.,,,Notes on Benefit,Notes on Other Criteria
AK,Exemption for Disabled Veterans with Local Option,150000,$ Exemption,Disabled Vet,,,X,,0.5,,,,,Yes,,Local,Prop Tax Exempt.,Local Option,Local Option,,Inc.,Both,AK103(b),AK103(a),"Localities may approve an additional exemption higher than the $150,000 in statute and set eligibility criteria for the additional exemption.",Widows/widowers under age 60 of disabled veteran or veteran killed in service may be eligible at local option
AL,"Veteran, Widow Exemption",1,% Exemption,Disabled Vet,,,,,,,,,X,Yes,,Local,Prop Tax Exempt.,By Dec. 31,One time,,,,AL104(a),AL104(b),,Exemption is for the home of any veteran acquired by a specially adapted housing grant.
AL,Incompetent Veteran Exemption,30000,$ Exemption,Disabled Vet,,,,,,,,,X,,,Local,Prop Tax Exempt.,By Dec. 31,One time,,,,AL104(b),AL104(a),,An incompetent veteran has been rated totally and permanently disabled by reason of insanity and has an appointed guardian.
AR,Homestead Property Tax Exemption for Veterans,1,% Exemption,Disabled Vet,,,,X,,X,X,X,,Yes,,Local,Prop Tax Exempt.,By Dec. 31,Annual,,,,AR102,AR101,,
CA,Disabled Veteran's Exemption (Basic),134706,$ Exemption,Disabled Vet,,,,X,,X,X,,,Yes,,Shared,Prop Tax Exempt.,By Jan 1,One time,,,,CA104(a),"CA103, CA104(b), CA105",,
CA,Disabled Veteran's Exemption (Low income),202060,$ Exemption,Disabled Vet,,60490.0,,X,,X,X,,,Yes,,Shared,Prop Tax Exempt.,By Jan 1,Annual,,,,CA104(b),"CA103, CA104(a) CA105",,
CA,Veterans' Exemption,4000,$ Exemption,All,,,X,,,,,,,Yes,,State,Prop Tax Exempt.,By Jan 1,Obsolete,,,,CA105,"CA103, CA104",,"Assets including property cannot exceed $5,000 if single or $10,000 if married, so veterans who own a home are unlikely to qualify."
CO,Disabled Veteran Exemption,0.5,% Exemption,Disabled Vet,,,X,X,,,,,,Yes,,State,Prop Tax Exempt.,By Jul 1,One time,,,,CO105,,"The 50% exemption is only applied to the first $200,000 of actual value.",Applicant must have owned homestead for the past 10 years.
CT,Exemption for Veterans w/Local Option (Basic),2142.85714285714,$ Exemption,Warzone,,,,,,,,,,Yes,,Shared,Prop Tax Exempt.,Feb 1 - Oct 1,2 Years,,Inc.,,CT104(a),"CT105, CT106, CT104(b)",,Veterans who served for at least 90 days in war are eligible; those who retire after 30 years of service are also eligible. World War II veterans with certain Merchant Marine Service and military service with allied armies also qualify.
CT,Exemption for Veterans w/Local Option (Low income),4285.71428571429,$ Exemption,Warzone,,43900.0,,,,,,,,Yes,,Shared,Prop Tax Exempt.,Feb 1 - Oct 1,2 Years,,Inc.,Inc.,CT104(b),"CT105, CT106, CT104(a)","Localities may offer optional additional exemption of up to $20,000 assessed value or 10% of assessed value and may increase income limits up to $25,000 higher than the state limit. Surviving spouses of service members who died as a result of their service while on active duty receive this exemption regardless of their income.","Veterans and active duty are eligible who served for at least 90 days in war; those who retire after 30 years of service are also eligible. World War II veterans with certain Merchant Marine Service and military service with allied armies also qualify. Income limit for unmarried veterans is $36,000. "
CT,Exemption for Disabled Veterans (Basic),,Tied to Disability,Disabled Vet,,,,,0.1,,,,,Yes,,Shared,Prop Tax Exempt.,Feb 1 - Oct 1,2 Years,,,,CT105(a),"CT104, CT106, CT105(b,c)","Four exemption levels based on disability rating from VA: 10-25% ($2,250 exemption), 26-50% ($3,000), 51-75% ($3,750), 76%+ ($4,500). Exemption applies to assessed value. There is a 70% assessment ratio in CT, so market value of exemption is approximately $3,214-$6,429. Exemption amounts include standard exemption (tax loss borne by local gov't, which is $1,500-$3,000) + additional 50% exemption (state reimbursement, which adds $750-$1,500).",
CT,Exemption for Disabled Veterans (Low income),,Tied to Disability,Disabled Vet,,24000.0,,,0.1,,,,,Yes,,Shared,Prop Tax Exempt.,Feb 1 - Oct 1,2 Years,,,Inc.,CT105(b),"CT104, CT106, CT105(a,c,d)","Four exemption levels based on disability rating from VA: 10-25% ($4,500 exemption), 26-50% ($6,000), 51-75% ($7,500), 76%+ ($9,000). Exemption applies to assessed value. There is a 70% assessment ratio in CT, so market value of exemption is approximately $6,429-$12,857. Exemption amounts include standard exemption (tax loss borne by local gov't, which is $1,500-$3,000) + additional 200% exemption (state reimbursement, which adds $3,000-$6,000).","Income ceiling is $21,000 for unmarried veterans. Localities may increase income limit to $25,000 higher than the state income limit. "
CT,Exemption for Disabled Vets (High Income Seniors),6428.57142857143,$ Exemption,Disabled Vet,65,,,,0.1,,,,,Yes,,Shared,Prop Tax Exempt.,Feb 1 - Oct 1,2 Years,,,,CT105(c),"CT104, CT106, CT105(a,b,d)",,
CT,Exemption for Disabled Vets (Low Income Seniors),12857.1428571429,$ Exemption,Disabled Vet,65,24000.0,,,0.1,,,,,Yes,,Shared,Prop Tax Exempt.,Feb 1 - Oct 1,2 Years,,,Inc.,CT105(d),"CT104, CT106, CT105(a,b,c)",,"Income ceiling is $21,000 for unmarried veterans. Localities may increase income limit up to $25,000 over state limit."
CT,Exemption for Severely Disabled Vets (Basic),,Tied to Disability,Disabled Vet,,,,,,X,X,X,,Yes,,Shared,Prop Tax Exempt.,Feb 1 - Oct 1,2 Years,,Inc.,Inc.,CT106(a),"CT104, CT105, CT106(b)","Exemption is $15,000 for vets with loss of both legs, paralysis of one arm and one leg, blindness, or amputations of both legs/arms/hands/feet. Exemption is $7,500 for vets with loss of one arm or leg. Exemption applies to assessed value. There is a 70% assessment ratio in CT, so market value of exemption is approximately $10,714-$21,429. Exemption amounts include standard exemption (tax loss borne by local gov't) + additional 50% exemption (state reimbursement).",
CT,Exemption for Severely Disabled Vets (Low income),,Tied to Disability,Disabled Vet,,24000.0,,,,X,X,X,,Yes,,Shared,Prop Tax Exempt.,Feb 1 - Oct 1,2 Years,,Inc.,Inc.,CT106(b),"CT104, CT105, CT106(a)","Exemption is $30,000 market value for vets with loss of both legs, paralysis of one arm and one leg, blindness, or amputations of both legs/arms/hands/feet. Exemption is $15,000 for vets with loss of one arm or leg. Exemption applies to assessed value. There is a 70% assessment ratio in CT, so market value of exemption is approximately $21,429-$42,857. Exemption amounts include standard exemption (tax loss borne by local gov't) + additional 200% exemption (state reimbursement). Localities have option to double or triple the additional exemption for 100% disabled applicants under income limit. Localities may increase income limit to $25,000 higher than state income limit. An optional exemption may exempt up to $10,000 or 10% of assessed value.","Income ceiling applies only to additional exemption (see note on benefit) and is $21,000 for unmarried veterans."
FL,Exemption for Disabled Ex-Service Members,5000,$ Exemption,Disabled Vet,,,,,0.1,,,,,Yes,,Local,Prop Tax Exempt.,Jan 1 - Mar 1,One time,,,,FL102,,,
FL,Service Connected Total Disability Exemption,1,% Exemption,Disabled Vet,,,,X,,,,,X,Yes,,Local,Prop Tax Exempt.,By Mar 1,One time,,,,FL103(a),,,Applicant must have received specially adapted housing assistance and use a wheelchair.
FL,Discount for Senior Disabled Veterans,,Tied to Disability,Disabled Vet,65,,,X,0.1,,,,,Yes ,,State,Prop Tax Credit,Jan 1 - Mar 1,One time,,,,FL108(a),FL108(b),Credit reduces tax liability by a percentage equal to the claimant's disability rating from the VA.,
