2025-26 Estimated Ready to Learn Block Grant,Unnamed: 1
,
"The enacted 2025-26 fiscal year budget includes $1,383,481,000 for the Ready to Learn Block Grant appropriation. This amount is a $561,981,000 (68.41%) increase over the 2024-25 enacted fiscal year appropriation.",
,
The enacted Ready to Learn Block Grant allocations are calculated as follows:,
,
"1.  Each school district and charter school will receive a Foundation (base) amount, totaling $818,402,000, equivalent to its 2024-25 Ready to Learn Block Foundation, Adequacy and Tax Equity supplements.",
"2.  Qualifying school districts will receive a share of $526,440,000 for an Adequacy Supplement.",
"3.  Qualifying school districts will receive a share of $32,202,000 for a Tax Equity Supplement.",
"4. Qualifying school districts will receive a share of $6,437,000 for a minimum adequacy supplement for K-12 education.",
,
The Adequacy and Tax Equity Supplements are determined using data from the Basic Education Funding formula as follows:,
,
(a) The Adequacy Supplement is calculated by:,
"•  Calculating an Adequacy Target for each school district, equal to the sum of the school district's total student-weighted BEF ADM and weighted student count from the SEF formula
    (adjusted to eliminate duplicity in student counts in BEF ADM) multiplied by $14,120.",
"•  Calculating the Adequacy Gap for each school district, equal to the difference (if greater than $0) between the net current expenditures used in the 2023-24 BEF formula and the
    school district's adequacy target.",
"•  Determine the state's share of each school district's adequacy gap by 1) calculating and subtracting a local share (adequacy adjustment) from the adequacy gap and
    2) calculating and adding a poverty adjustment to the adequacy gap. For FY2025-26, all school districts' adequacy adjustment values are $0.",
"•  The adequacy supplement for each school district is a share of $526,440,000 based on the sum of all school districts' adequacy gaps.",
,
,(b) The minimum adequacy supplement is calculated as follows:
"• For all school districts whose Adequacy and Tax Equity supplements sum to less than $50,000, the minimum adequacy supplement is $50,000 minus the sum of their Adequacy and Tax Equity supplements.",
"• For all other school districts, the minimum adequacy supplement is $0.",
,
(c) The Tax Equity Supplement is calculated by:,
"•  For all school districts with a Local Effort Rate greater than the 90th percentile, find the difference between the school district’s revenue
   generated at its current local effort rate and the revenue it would generate at the 90th percentile local effort rate, and multiply that difference by a fractional local capacity index to calculate a tax equity gap.",
"•  The fractional local capacity index is calculated for school districts with a local capacity per weighted student greater than the statewide median by dividing a school district’s local capacity per weighted student
   by the statewide median value, subtracting one, and then subtracting that result from one. The value is one for school districts with local capacity per weighted student below the statewide median value.",
•  Subtract the amount the school district received as a Tax Equity supplement in FY2024-25.,
"•  The tax equity supplement for each qualifying school district is a share of $32,202,000 based on the sum of all school districts' tax equity gaps minus 2024-25 tax equity supplements.",
,
,
,
2025-12-01 00:00:00,
