RECYCLING FUND For Fiscal Year 2009/10 and 2010/11,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Commonwealth Recycling Office,,,,,,
Fund 009 - SAP Fund 20194,,,,,,
,,,,,,
"Authorizing Statute:  Estabished under Section 706 of the Municipal Waste Planning, Recycling and Waste Reduction Act (Act 101 of 1988)",,,,,,
,,,,,,
Sources of income:  Recycling Fee - $2 per ton fee imposed on every ton of municipal solid waste that is accepted for disposal or processing at landfills or resource recovery facilities in the commonwealth.,,,,,,
,,,,,,
"Use of money:  Funds are used for Recycling Development and Implementation Grants and program funding, which include staffing of 2 complement positions and related costs.",,,,,,
,,,,,,
Description of Expenditure,FY2009-10 Projected Cost        (in thous),FY2010-11 Projected Cost        (in thous),New or Continuing (N/C),Method of Procure-ment,Mandatory Y/N,Notes
,,,,,,
Personnel:,,,,,,
"All personnel related expenditures to include salaries, wages, overtime",,,,,,
Salaries & Benefits: ,100,105,C,,Y,Program support
Other Personnel Related,10,10,N,,N,Intern
,,,,,,
Subtotal,110,115, ,, , 
,,,,,,
Operating Expenses:,,,,,,
"Meetings, IT equipment & supplies, auto supplies, leases, maintenance, vehicle fuel, travel and training related travel, other miscellaneous services & supplies ",,,,, ,
Training,5,5,C,,N,New recycling methods and train-the-trainer program
General Operating Expenses,7,7,C,,N,"Misc. operating supplies, mntc. and services, DGS/OA/IES charges, etc."
Computers (Replacement/Upgrades),20,20,C,State Contract,N,Replacement of various older non-compliant devices
"Department memberships, conferences, co-sponsorships, expert witness",52,52,C,,N,Preapproved Dept Memberships. 
Recycling Bins for Schools,75,75,C,State contract,N,Encourage recycling programs
Dept. of Revenue (no longer PHMC),15,15,C,,N,Document imaging and data processing. 
,,,,,,
Subtotal,174,174, ,, , 
,,,,,,
Program Services and Contracts,,,,,,
"Service contracts, consultants, IT contracts",,,,,,
"Event Support (Earth Day, America Recycles Day, Oct. Recycling Month",125,125,C,Bid/Sole Source,N,Public education.  Public service announcements for October Recycling Month and Great PA Cleanup
NORCAM (Recycling/Litter Hotline),54,54,C,Bid/Sole Source,N,Respond to public inquiries
PA Clean and Beautiful Fund (Great PA Cleanup/Litter Coordinator),105,105,C,Sole Source,N,Litter Coordinator/COALS Beautification
PRC (2008 Litter Reduction Program),100,100,C,Sole Source,N,Litter reduction program
PROP (Certification),300,300,C,Sole Source,N,Trained recycling professionals
Waste Composition Update,60,60,N,RFP,N,Waste Futures planning
Commonweath Recycling Implementation,100,100,C,Bid ,N,Management directive support. Provides support to other agencies due to lack of DGS help
"Data Collection (State, Local and County Governments)",38,38,N,RFP,N,Expanded data management program
Recycling Economic Impact Study,60,60,C,Sole Source,N,Update 2005 economic impacts of recycling in PA
,,,,,,
Subtotal,942,942, ,, , 
Operating Subtotal,1116,1116,,,,
,,,,,,
Fixed Assets:,,,,,,
"Vehicles, heavy equipment, items over $5,000 such as lab equipment, IT specialized devices",,,,,,
Van ,20,0,N,State Contract,N,"Replacement of 1999 vehicle w/150,000+ miles"
,,,,,,
Subtotal,3284,3264, ,, , 
,,,,,,
,,,,,,
Grants:,,,,,,
,,,,,,
Clean Air Council (Re-Use Guide),20,0,C,Sole Source,N,"Promotes ""closing the loop"" on recycling. Will be closing"
Composting Infrastructure Development ,400,400,C,Competitive,N,Composting equipment
Market Development Infrastructure,1000,1000,C,Competitive,N,Facilitate market development
PSU (Composting Education),47,47,C,Sole Source,N,Composting workshops
Recycling Market Development Center (Operation),1000,1000,C,Sole Source,N,Operation support to the Recycling Market Dev Center
Subtotal,2467,2447, ,, , 
,,,,,,
Non-Expense Items :,,, , , ,  
"BIT Chargebacks, transfers to other DEP/agency  Funds, statutory transfers",,, , , ,
BIT Chargeback,151,151,C,,N,BIT Cost Distribution
Dept. of Community & Economic Dev. (Training),250,250,C,,N,Commitment to leadership in recycling
Dept. of Education ,186,186,C,,N,Commitment to leadership in recycling
Dept. of Transportation,400,400,C,,N,Commitmentto leadership in recycling
,,,,,,
Subtotal,836,836,,,,
,,, ,, , 
,,,,,,
Augmentation:,,,,,,
"Funding supplement to General Fund appropriations,BoL hourly billables",,,,,,
Environ Protection Operations,300,350,,,,Augment personnel costs
Environ Program Management,100,100,,,,Augment personnel costs
,,,,,,
Subtotal,400,450,,,,
Non-Expense Subtotal,1236,1286,,,,
,,,,,,
,,,,,,
Total Projected Expenditures,8213,8228,,,,
