Unnamed: 0,Unnamed: 1
,SCED Version 10 to Version 12 Changes
,2024-2025 School Year
,
General Information,
This spreadsheet provides a list of new SCED Course Codes that are now available to use in SCED Version 12 as well as a list of the SCED Codes that are no longer available to use in SCED Version 12. These archived courses can be reported in the TSDL collections during the 2024-2025 School Year and will then be removed.,
Data Sources,
"Files provided by NCES, as part of the SCED Code v12 release.",
Notes,
The New Courses tab shows a list of courses that have been added since v10.,
The Archived Courses tab shows a list of courses that have been archived/removed since v10.,
The Change Status column on each tab states the SCED Version of when each course was added or removed.,
File Last Updated: 06/21/2024,
