Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
,SCED Version 10 to Version 12 New Courses,,
,,,
,,,
Course Title,SCED Code,Course Description,Change Status
Life Science,3071,"Life Science courses cover the basic principles of life and life processes. These topics may include cells, species, ecosystems, reproduction, genetics, or other topics consistent with state academic standards for life science.",v12 Recode
AP African American Studies,4112,"Following the College Board’s suggested curriculum designed to parallel college-level African American Studies courses, students in AP African American Studies courses use authentic and varied sources to explore diverse African American experiences. Students study topics that span early African kingdoms to the contemporary challenges and achievements of the African American communities in the U.S.",v12 New Course
Computer Science (prior-to-secondary),10022,"Computer Science (prior-to-secondary) courses cover basic principles of computer science. In these courses, students learn how to develop and follow basic algorithms, collect and organize data, troubleshoot hardware and software issues, and think critically about online safety and responsibility. Topics may also include modeling network and transmission protocols; transforming data using computational tools; iteratively developing, testing, and documenting programs; computational thinking; and addressing bias and accessibility in the design and development of technologies. Courses may include learning about emerging technologies.",v11 New Course
Information Technology—School-based Enterprise,10993,"Information Technology—School-based Enterprise courses provide students the opportunity to learn about and manage an entrepreneurial operation related to information technology within a school setting. Students will develop interpersonal and professional skills. Topics may include operations, product services management, pricing, distribution, and marketing.",v11 New Course
Information Technology—Career Project-based Learning,10994,"Information Technology—Career Project-based Learning courses provide students with an introduction to careers in the information technology field. Students will work in cooperation with local businesses, community organizations, or non-profit agencies to explore and solve real-world problems that could arise in the workplace. These courses occur in a classroom setting and typically do not include work in the field.",v11 New Course
Communication and Audio/Video Technology—School-based Enterprise,11993,"Communication and Audio/Video Technology—School-based Enterprise courses provide students the opportunity to learn about and manage an entrepreneurial operation related to communication and audio/video technology within a school setting. Students will develop interpersonal and professional skills. Topics may include operations, product services management, pricing, distribution, and marketing.",v11 New Course
Communication and Audio/Video Technology—Career Project-based Learning,11994,"Communication and Audio/Video Technology—Career Project-based Learning courses provide students with an introduction to careers in the communication and audio/video technology field. Students will work in cooperation with local businesses, community organizations, or non-profit agencies to explore and solve real-world problems that could arise in the workplace. These courses occur in a classroom setting and typically do not include work in the field.",v11 New Course
Business and Marketing—School-based Enterprise,12993,"Business and Marketing—School-based Enterprise courses provide students the opportunity to learn about and manage an entrepreneurial operation related to business and marketing within a school setting. Students will develop interpersonal and professional skills. Topics may include operations, product services management, pricing, distribution, and marketing.",v11 New Course
Business and Marketing—Career Project-based Learning,12994,"Business and Marketing—Career Project-based Learning courses provide students with an introduction to careers in the business and marketing field. Students will work in cooperation with local businesses, community organizations, or non-profit agencies to explore and solve real-world problems that could arise in the workplace. These courses occur in a classroom setting and typically do not include work in the field.",v11 New Course
Manufacturing—School-based Enterprise,13993,"Manufacturing—School-based Enterprise courses provide students the opportunity to learn about and manage an entrepreneurial operation related to manufacturing within a school setting. Students will develop interpersonal and professional skills. Topics may include operations, product services management, pricing, distribution, and marketing.",v11 New Course
Manufacturing—Career Project-based Learning,13994,"Manufacturing—Career Project-based Learning courses provide students with an introduction to careers in the manufacturing field. Students will work in cooperation with local businesses, community organizations, or non-profit agencies to explore and solve real-world problems that could arise in the workplace. These courses occur in a classroom setting and typically do not include work in the field.",v11 New Course
Health Care Sciences—School-based Enterprise,14993,"Health Care Sciences—School-based Enterprise courses provide students the opportunity to learn about and manage an entrepreneurial operation related to health care sciences within a school setting. Students will develop interpersonal and professional skills. Topics may include operations, product services management, pricing, distribution, and marketing.",v11 New Course
