TemperatureRecordofSame-ConditionCuringSpecimens-ProjectName-Constructioncompany-SamplingTime-SerialNumber,"TemperatureRecordofSame-ConditionCuringSpecimens-ChengduQibinjiangChengxiangAgriculturalComprehensiveServiceStation-ChengduSanpengConstructionEngineeringCo.,Ltd.-2011.9.25-Date","TemperatureRecordofSame-ConditionCuringSpecimens-ChengduQibinjiangChengxiangAgriculturalComprehensiveServiceStation-ChengduSanpengConstructionEngineeringCo.,Ltd.-2011.9.25-Cumulativetime(d)","TemperatureRecordofSame-ConditionCuringSpecimens-ChengduQibinjiangChengxiangAgriculturalComprehensiveServiceStation-ChengduSanpengConstructionEngineeringCo.,Ltd.-2011.9.25-Dailyaveragetemperature",TemperatureRecordofSame-ConditionCuringSpecimens-Sub-itemprojectname-RegisteredConstructor(ProjectManager)-SpecimenNumber-CumulativeTemperature(℃),TemperatureRecordofSame-ConditionCuringSpecimens-SameConditions-HuHuafu-SerialNumber,TemperatureRecordofSame-ConditionCuringSpecimens-SameConditions-HuHuafu-Date,TemperatureRecordofSame-ConditionCuringSpecimens-AcceptanceLocation-RegisteredConstructor(TechnicalResponsiblePerson)-Recorder-Cumulativetime(d),TemperatureRecordofSame-ConditionCuringSpecimens-Foundationcushionlayer-ChenLi'an-Dailyaveragetemperature,TemperatureRecordofSame-ConditionCuringSpecimens-Foundationcushionlayer-ChenLi'an-CumulativeTemperature(℃)
1,2011.9.26,1,20,16,24,2011.10.19,24,20,484
2,2011.9.27,2,19,35,25,2011.10.20,25,17,501
3,2011.9.28,3,21,56,26,2011.10.21,26,18,519
4,2011.9.29,4,20,76,27,2011.10.22,27,21,540
5,2011.9.30,5,19,95,28,2011.10.23,28,19,559
6,2011.10.1,6,24,119,29,2011.10.24,29,18,577
7,2011.10.2,7,20,139,30,2011.10.25,30,19,596
8,2011.10.3,8,19,158,,,,,
9,2011.10.4,9,22,180,,,,,
10,2011.10.5,10,20,200,,,,,
11,2011.10.6,11,21,221,,,,,
12,2011.10.7,12,20,241,,,,,
13,2011.10.8,13,22,263,,,,,
14,2011.10.9,14,19,282,,,,,
15,2011.10.10,15,19,301,,,,,
16,2011.10.11,16,22,323,,,,,
17,2011.10.12,17,20,343,,,,,
18,2011.10.13,18,19,362,,,,,
19,2011.10.14,19,20,382,,,,,
20,2011.10.15,20,22,404,,,,,
21,2011.10.16,21,19,423,,,,,
22,2011.10.17,22,20,443,,,,,
23,2011.10.18,23,21,464,,,,,
Professional Supervising Engineer:,Professional Supervising Engineer:,Professional Supervising Engineer:,Professional Supervising Engineer:,Professional Supervising Engineer:,Professional Supervising Engineer:,Professional Supervising Engineer:,Professional Supervising Engineer:,Professional Supervising Engineer:,Professional Supervising Engineer:
Note: The daily average temperature refers to the average of the daily maximum and minimum temperatures; days with an average temperature below 0℃ are not included in the cumulative temperature.,Note: The daily average temperature refers to the average of the daily maximum and minimum temperatures; days with an average temperature below 0℃ are not included in the cumulative temperature.,Note: The daily average temperature refers to the average of the daily maximum and minimum temperatures; days with an average temperature below 0℃ are not included in the cumulative temperature.,Note: The daily average temperature refers to the average of the daily maximum and minimum temperatures; days with an average temperature below 0℃ are not included in the cumulative temperature.,Note: The daily average temperature refers to the average of the daily maximum and minimum temperatures; days with an average temperature below 0℃ are not included in the cumulative temperature.,Note: The daily average temperature refers to the average of the daily maximum and minimum temperatures; days with an average temperature below 0℃ are not included in the cumulative temperature.,Note: The daily average temperature refers to the average of the daily maximum and minimum temperatures; days with an average temperature below 0℃ are not included in the cumulative temperature.,Note: The daily average temperature refers to the average of the daily maximum and minimum temperatures; days with an average temperature below 0℃ are not included in the cumulative temperature.,Note: The daily average temperature refers to the average of the daily maximum and minimum temperatures; days with an average temperature below 0℃ are not included in the cumulative temperature.,Note: The daily average temperature refers to the average of the daily maximum and minimum temperatures; days with an average temperature below 0℃ are not included in the cumulative temperature.
SN:9F2E00000000FB78 Jiulong Software Print (Approval No.: Chuan Jian Fa [2002] No. 280)              Supervised by Sichuan Provincial Department of Construction,SN:9F2E00000000FB78 Jiulong Software Print (Approval No.: Chuan Jian Fa [2002] No. 280)              Supervised by Sichuan Provincial Department of Construction,SN:9F2E00000000FB78 Jiulong Software Print (Approval No.: Chuan Jian Fa [2002] No. 280)              Supervised by Sichuan Provincial Department of Construction,SN:9F2E00000000FB78 Jiulong Software Print (Approval No.: Chuan Jian Fa [2002] No. 280)              Supervised by Sichuan Provincial Department of Construction,SN:9F2E00000000FB78 Jiulong Software Print (Approval No.: Chuan Jian Fa [2002] No. 280)              Supervised by Sichuan Provincial Department of Construction,SN:9F2E00000000FB78 Jiulong Software Print (Approval No.: Chuan Jian Fa [2002] No. 280)              Supervised by Sichuan Provincial Department of Construction,SN:9F2E00000000FB78 Jiulong Software Print (Approval No.: Chuan Jian Fa [2002] No. 280)              Supervised by Sichuan Provincial Department of Construction,SN:9F2E00000000FB78 Jiulong Software Print (Approval No.: Chuan Jian Fa [2002] No. 280)              Supervised by Sichuan Provincial Department of Construction,SN:9F2E00000000FB78 Jiulong Software Print (Approval No.: Chuan Jian Fa [2002] No. 280)              Supervised by Sichuan Provincial Department of Construction,SN:9F2E00000000FB78 Jiulong Software Print (Approval No.: Chuan Jian Fa [2002] No. 280)              Supervised by Sichuan Provincial Department of Construction
