TemperatureRecordofSame-ConditionCuringSpecimens-ProjectName-Constructioncompany-SamplingTime-SerialNumber,"TemperatureRecordofSame-ConditionCuringSpecimens-ChengduQibinjiangChengxiangAgriculturalComprehensiveServiceStation-ChengduSanpengConstructionEngineeringCo.,Ltd.-2011.10.18-Date","TemperatureRecordofSame-ConditionCuringSpecimens-ChengduQibinjiangChengxiangAgriculturalComprehensiveServiceStation-ChengduSanpengConstructionEngineeringCo.,Ltd.-2011.10.18-Cumulativetime(d)","TemperatureRecordofSame-ConditionCuringSpecimens-ChengduQibinjiangChengxiangAgriculturalComprehensiveServiceStation-ChengduSanpengConstructionEngineeringCo.,Ltd.-2011.10.18-Dailyaveragetemperature",TemperatureRecordofSame-ConditionCuringSpecimens-Sub-itemprojectname-RegisteredConstructor(ProjectManager)-SpecimenNumber-CumulativeTemperature(℃),TemperatureRecordofSame-ConditionCuringSpecimens-SameConditions-HuHuafu-SerialNumber,TemperatureRecordofSame-ConditionCuringSpecimens-SameConditions-HuHuafu-Date,TemperatureRecordofSame-ConditionCuringSpecimens-AcceptanceLocation-RegisteredConstructor(TechnicalResponsiblePerson)-Recorder-Cumulativetime(d),TemperatureRecordofSame-ConditionCuringSpecimens-FoundationMattoFirstFloorStructuralBeam-ChenLi'an-Dailyaveragetemperature,TemperatureRecordofSame-ConditionCuringSpecimens-FoundationMattoFirstFloorStructuralBeam-ChenLi'an-CumulativeTemperature(℃)
1,2011.10.19,1,14,16,24,2011.11.11,24,18,367
2,2011.10.20,2,17,33,25,2011.11.12,25,17,384
3,2011.10.21,3,15,48,26,2011.11.13,26,18,402
4,2011.10.22,4,17,65,27,2011.11.14,27,17,419
5,2011.10.23,5,14,79,28,2011.11.15,28,17,436
6,2011.10.24,6,16,95,29,2011.11.16,29,16,452
7,2011.10.25,7,17,112,30,2011.11.17,30,15,467
8,2011.10.26,8,14,126,31,2011.11.18,31,17,484
9,2011.10.27,9,15,141,32,2011.11.19,32,17,501
10,2011.10.28,10,19,160,33,2011.11.20,33,16,517
11,2011.10.29,11,17,177,34,2011.11.21,34,18,535
12,2011.10.30,12,15,192,35,2011.11.22,35,15,550
13,2011.10.31,13,17,209,36,2011.11.23,36,17,567
14,2011.11.1,14,13,222,37,2011.11.24,37,16,583
15,2011.11.2,15,14,236,38,2011.11.25,38,14,597
16,2011.11.3,16,13,249,,,,,
17,2011.11.4,17,15,264,,,,,
18,2011.11.5,18,13,277,,,,,
19,2011.11.6,19,14,291,,,,,
20,2011.11.7,20,13,304,,,,,
21,2011.11.8,21,13,317,,,,,
22,2011.11.9,22,15,332,,,,,
23,2011.11.10,23,17,349,,,,,
Professional Supervising Engineer:,Professional Supervising Engineer:,Professional Supervising Engineer:,Professional Supervising Engineer:,Professional Supervising Engineer:,Professional Supervising Engineer:,Professional Supervising Engineer:,Professional Supervising Engineer:,Professional Supervising Engineer:,Professional Supervising Engineer:
Note: The daily average temperature refers to the average of the daily maximum and minimum temperatures; days with an average temperature below 0℃ are not included in the cumulative temperature.,Note: The daily average temperature refers to the average of the daily maximum and minimum temperatures; days with an average temperature below 0℃ are not included in the cumulative temperature.,Note: The daily average temperature refers to the average of the daily maximum and minimum temperatures; days with an average temperature below 0℃ are not included in the cumulative temperature.,Note: The daily average temperature refers to the average of the daily maximum and minimum temperatures; days with an average temperature below 0℃ are not included in the cumulative temperature.,Note: The daily average temperature refers to the average of the daily maximum and minimum temperatures; days with an average temperature below 0℃ are not included in the cumulative temperature.,Note: The daily average temperature refers to the average of the daily maximum and minimum temperatures; days with an average temperature below 0℃ are not included in the cumulative temperature.,Note: The daily average temperature refers to the average of the daily maximum and minimum temperatures; days with an average temperature below 0℃ are not included in the cumulative temperature.,Note: The daily average temperature refers to the average of the daily maximum and minimum temperatures; days with an average temperature below 0℃ are not included in the cumulative temperature.,Note: The daily average temperature refers to the average of the daily maximum and minimum temperatures; days with an average temperature below 0℃ are not included in the cumulative temperature.,Note: The daily average temperature refers to the average of the daily maximum and minimum temperatures; days with an average temperature below 0℃ are not included in the cumulative temperature.
SN:9F2E00000000FB78 Jiulong Software Print (Approval No.: Chuan Jian Fa [2002] No. 280)              Supervised by Sichuan Provincial Department of Construction,SN:9F2E00000000FB78 Jiulong Software Print (Approval No.: Chuan Jian Fa [2002] No. 280)              Supervised by Sichuan Provincial Department of Construction,SN:9F2E00000000FB78 Jiulong Software Print (Approval No.: Chuan Jian Fa [2002] No. 280)              Supervised by Sichuan Provincial Department of Construction,SN:9F2E00000000FB78 Jiulong Software Print (Approval No.: Chuan Jian Fa [2002] No. 280)              Supervised by Sichuan Provincial Department of Construction,SN:9F2E00000000FB78 Jiulong Software Print (Approval No.: Chuan Jian Fa [2002] No. 280)              Supervised by Sichuan Provincial Department of Construction,SN:9F2E00000000FB78 Jiulong Software Print (Approval No.: Chuan Jian Fa [2002] No. 280)              Supervised by Sichuan Provincial Department of Construction,SN:9F2E00000000FB78 Jiulong Software Print (Approval No.: Chuan Jian Fa [2002] No. 280)              Supervised by Sichuan Provincial Department of Construction,SN:9F2E00000000FB78 Jiulong Software Print (Approval No.: Chuan Jian Fa [2002] No. 280)              Supervised by Sichuan Provincial Department of Construction,SN:9F2E00000000FB78 Jiulong Software Print (Approval No.: Chuan Jian Fa [2002] No. 280)              Supervised by Sichuan Provincial Department of Construction,SN:9F2E00000000FB78 Jiulong Software Print (Approval No.: Chuan Jian Fa [2002] No. 280)              Supervised by Sichuan Provincial Department of Construction
