TemperatureRecordofSame-ConditionCuringSpecimens-ProjectName-Constructioncompany-SamplingTime-SerialNumber,"TemperatureRecordofSame-ConditionCuringSpecimens-ChengduQingshanjiangDistrictLongwangAgriculturalComprehensiveServiceStation-ChengduSanpengConstructionEngineeringCo.,Ltd.-2011.10.2-Date","TemperatureRecordofSame-ConditionCuringSpecimens-ChengduQingshanjiangDistrictLongwangAgriculturalComprehensiveServiceStation-ChengduSanpengConstructionEngineeringCo.,Ltd.-2011.10.2-Cumulativetime(d)","TemperatureRecordofSame-ConditionCuringSpecimens-ChengduQingshanjiangDistrictLongwangAgriculturalComprehensiveServiceStation-ChengduSanpengConstructionEngineeringCo.,Ltd.-2011.10.2-Dailyaveragetemperature",TemperatureRecordofSame-ConditionCuringSpecimens-Sub-itemprojectname-RegisteredConstructor(ProjectManager)-SpecimenNumber-CumulativeTemperature(℃),TemperatureRecordofSame-ConditionCuringSpecimens-SameConditions-HuHuafu-SerialNumber,TemperatureRecordofSame-ConditionCuringSpecimens-SameConditions-HuHuafu-Date,TemperatureRecordofSame-ConditionCuringSpecimens-AcceptanceLocation-RegisteredConstructor(TechnicalResponsiblePerson)-Recorder-Cumulativetime(d),TemperatureRecordofSame-ConditionCuringSpecimens-Foundationcushionlayer-ChenLi'an-Dailyaveragetemperature,TemperatureRecordofSame-ConditionCuringSpecimens-Foundationcushionlayer-ChenLi'an-CumulativeTemperature(℃)
1,2011.10.3,1,17,16,24,2011.10.26,24,17,384
2,2011.10.4,2,15,31,25,2011.10.27,25,14,398
3,2011.10.5,3,14,45,26,2011.10.28,26,15,413
4,2011.10.6,4,15,60,27,2011.10.29,27,17,430
5,2011.10.7,5,18,78,28,2011.10.30,28,17,447
6,2011.10.8,6,19,97,29,2011.10.31,29,15,462
7,2011.10.9,7,16,113,30,2011.11.1,30,17,479
8,2011.10.10,8,16,129,31,2011.11.2,31,13,492
9,2011.10.11,9,17,146,32,2011.11.3,32,14,506
10,2011.10.12,10,17,163,33,2011.11.4,33,13,519
11,2011.10.13,11,18,181,34,2011.11.5,34,15,534
12,2011.10.14,12,17,198,35,2011.11.6,35,13,547
13,2011.10.15,13,15,213,36,2011.11.7,36,14,561
14,2011.10.16,14,16,229,37,2011.11.8,37,13,574
15,2011.10.17,15,14,243,38,2011.11.9,38,13,587
16,2011.10.18,16,15,258,39,2011.11.10,39,15,602
17,2011.10.19,17,16,274,,,,,
18,2011.10.20,18,14,288,,,,,
19,2011.10.21,19,17,305,,,,,
20,2011.10.22,20,15,320,,,,,
21,2011.10.23,21,17,337,,,,,
22,2011.10.24,22,14,351,,,,,
23,2011.10.25,23,16,367,,,,,
Professional Supervising Engineer:,Professional Supervising Engineer:,Professional Supervising Engineer:,Professional Supervising Engineer:,Professional Supervising Engineer:,Professional Supervising Engineer:,Professional Supervising Engineer:,Professional Supervising Engineer:,Professional Supervising Engineer:,Professional Supervising Engineer:
Note: The daily average temperature refers to the average of the daily maximum and minimum temperatures; days with an average temperature below 0℃ are not included in the cumulative temperature.,Note: The daily average temperature refers to the average of the daily maximum and minimum temperatures; days with an average temperature below 0℃ are not included in the cumulative temperature.,Note: The daily average temperature refers to the average of the daily maximum and minimum temperatures; days with an average temperature below 0℃ are not included in the cumulative temperature.,Note: The daily average temperature refers to the average of the daily maximum and minimum temperatures; days with an average temperature below 0℃ are not included in the cumulative temperature.,Note: The daily average temperature refers to the average of the daily maximum and minimum temperatures; days with an average temperature below 0℃ are not included in the cumulative temperature.,Note: The daily average temperature refers to the average of the daily maximum and minimum temperatures; days with an average temperature below 0℃ are not included in the cumulative temperature.,Note: The daily average temperature refers to the average of the daily maximum and minimum temperatures; days with an average temperature below 0℃ are not included in the cumulative temperature.,Note: The daily average temperature refers to the average of the daily maximum and minimum temperatures; days with an average temperature below 0℃ are not included in the cumulative temperature.,Note: The daily average temperature refers to the average of the daily maximum and minimum temperatures; days with an average temperature below 0℃ are not included in the cumulative temperature.,Note: The daily average temperature refers to the average of the daily maximum and minimum temperatures; days with an average temperature below 0℃ are not included in the cumulative temperature.
SN:9F2E00000000FB78 Jiulong Software Print (Approval No.: Chuan Jian Fa [2002] No. 280)              Supervised by Sichuan Provincial Department of Construction,SN:9F2E00000000FB78 Jiulong Software Print (Approval No.: Chuan Jian Fa [2002] No. 280)              Supervised by Sichuan Provincial Department of Construction,SN:9F2E00000000FB78 Jiulong Software Print (Approval No.: Chuan Jian Fa [2002] No. 280)              Supervised by Sichuan Provincial Department of Construction,SN:9F2E00000000FB78 Jiulong Software Print (Approval No.: Chuan Jian Fa [2002] No. 280)              Supervised by Sichuan Provincial Department of Construction,SN:9F2E00000000FB78 Jiulong Software Print (Approval No.: Chuan Jian Fa [2002] No. 280)              Supervised by Sichuan Provincial Department of Construction,SN:9F2E00000000FB78 Jiulong Software Print (Approval No.: Chuan Jian Fa [2002] No. 280)              Supervised by Sichuan Provincial Department of Construction,SN:9F2E00000000FB78 Jiulong Software Print (Approval No.: Chuan Jian Fa [2002] No. 280)              Supervised by Sichuan Provincial Department of Construction,SN:9F2E00000000FB78 Jiulong Software Print (Approval No.: Chuan Jian Fa [2002] No. 280)              Supervised by Sichuan Provincial Department of Construction,SN:9F2E00000000FB78 Jiulong Software Print (Approval No.: Chuan Jian Fa [2002] No. 280)              Supervised by Sichuan Provincial Department of Construction,SN:9F2E00000000FB78 Jiulong Software Print (Approval No.: Chuan Jian Fa [2002] No. 280)              Supervised by Sichuan Provincial Department of Construction
