Shanxi Insurance Industry Operation Table,Shanxi Insurance Industry Operation Table.1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
2025/2/1,2025/2/1,,,,
,"Unit: 10,000 yuan",,,,
Project,Year-to-Date / As of Current Period,,,,
Original Insurance Premium Income,3224951,,,,
1. Property Insurance,428250,,,,
2. Life Insurance,2796701,,,,
(1) Life Insurance,2265365,,,,
(2) Health Insurance,493054,,,,
(3) Personal Accident Insurance,38282,,,,
Original Insurance Claims Payments,1258411,,,,
Property Insurance,299258,,,,
2. Life Insurance,959153,,,,
(1) Life Insurance,807390,,,,
(2) Health Insurance,140839,,,,
(3) Personal Accident Insurance,10924,,,,
Total Assets,36595458,,,,
"Note: 1. The data in this table is submitted by insurance companies according to the relevant criteria after the insurance industry implemented the ""Notice on the Accounting Treatment of Insurance Contracts"" (Caihui [2009] No. 15).","Note: 1. The data in this table is submitted by insurance companies according to the relevant criteria after the insurance industry implemented the ""Notice on the Accounting Treatment of Insurance Contracts"" (Caihui [2009] No. 15).",,,,
2. The above data is sourced from the insurance data submitted by each company and has not been audited.,,,,,
"3. The original insurance premium income and original insurance indemnity payments are cumulative figures for the year, and total assets are data as of the end of the month.","3. The original insurance premium income and original insurance indemnity payments are cumulative figures for the year, and total assets are data as of the end of the month.","3. The original insurance premium income and original insurance indemnity payments are cumulative figures for the year, and total assets are data as of the end of the month.","3. The original insurance premium income and original insurance indemnity payments are cumulative figures for the year, and total assets are data as of the end of the month.","3. The original insurance premium income and original insurance indemnity payments are cumulative figures for the year, and total assets are data as of the end of the month.","3. The original insurance premium income and original insurance indemnity payments are cumulative figures for the year, and total assets are data as of the end of the month."
