LifeInsuranceCompanyOperationsTable-2025/2/1,"LifeInsuranceCompanyOperationsTable-2025/2/1-Unit:10,000yuan"
Project,Year-to-Date / As of Current Period
Original Insurance Premium Income,2628157
Among them: Life Insurance,2265365
Accidental Injury Insurance,20029
Health Insurance,342764
Policyholders' Investment Premiums Newly Paid in the Current Year,502648
Total new premiums for separate accounts of investment-linked insurance this year,1204
Claims Payment,908882
Newly Added Insurance Amount,499445773
Total Assets,34328196
"Note: 1. The data in this table is submitted by insurance companies according to the relevant criteria after the insurance industry implemented the ""Notice on the Accounting Treatment of Insurance Contracts"" (Caihui [2009] No. 15).","Note: 1. The data in this table is submitted by insurance companies according to the relevant criteria after the insurance industry implemented the ""Notice on the Accounting Treatment of Insurance Contracts"" (Caihui [2009] No. 15)."
2. The above data is sourced from the insurance summary data submitted by each company and has not been audited.,
"3. The original insurance premium income, claim payment, and newly added insurance amount are cumulative figures for the year, and total assets are data as of the end of the month.","3. The original insurance premium income, claim payment, and newly added insurance amount are cumulative figures for the year, and total assets are data as of the end of the month."
