PropertyandCasualtyInsuranceCompanyOperationsTable-2025/2/1-Project,"PropertyandCasualtyInsuranceCompanyOperationsTable-2025/2/1-Unit:10,000yuan-Year-to-Date/AsofCurrentPeriod"
Original Insurance Premium Income,596794
Among them: Enterprise Property Insurance,35013
Household Property Insurance,6019
Motor Vehicle Insurance,292893
Engineering Insurance,2186
Liability Insurance,34596
Guarantee Insurance,13075
Agricultural Insurance,37386
Health Insurance,150291
Accidental Injury Insurance,18253
Claim Payment Expenses,349529
Insurance Amount,1821429062
Of which: Motor Vehicle Insurance,330091494
Liability Insurance,89642042
Agricultural Insurance,1736193
Total Assets,2267262
"Note: 1. The data in this table is submitted by insurance companies in accordance with the relevant reporting requirements after the insurance industry implemented the ""Notice on the Accounting Treatment of Insurance Contracts"" (Caihui [2009] No. 15).","Note: 1. The data in this table is submitted by insurance companies in accordance with the relevant reporting requirements after the insurance industry implemented the ""Notice on the Accounting Treatment of Insurance Contracts"" (Caihui [2009] No. 15)."
2. The above data is sourced from the insurance summary data submitted by each company and is unaudited.,
"3. The original insurance premium income, claim expenses, and insurance amount are cumulative figures for the year, and total assets are data as of the end of the month.","3. The original insurance premium income, claim expenses, and insurance amount are cumulative figures for the year, and total assets are data as of the end of the month."
