ShanxiRegionalOriginalInsurancePremiumIncomeTable-2025/2/1-Region,ShanxiRegionalOriginalInsurancePremiumIncomeTable-2025/2/1-Total,ShanxiRegionalOriginalInsurancePremiumIncomeTable-2025/2/1-PropertyInsurance,ShanxiRegionalOriginalInsurancePremiumIncomeTable-2025/2/1-LifeInsurance,"ShanxiRegionalOriginalInsurancePremiumIncomeTable-2025/2/1-Unit:10,000yuan-AccidentalInjuryInsurance","ShanxiRegionalOriginalInsurancePremiumIncomeTable-2025/2/1-Unit:10,000yuan-HealthInsurance"
Total of Shanxi,3224951,428250,2265365,38282,493054
Taiyuan City,956027,119036,659820,14947,162223
Datong City,224764,33025,148283,1917,41538
Yangquan City,96897,13285,77734,794,5084
Changzhi City,259217,36332,184450,2611,35824
Jincheng City,201985,25681,152109,2151,22044
Shuozhou City,85636,16632,54848,1810,12346
Jinzhong City,278778,33788,213481,2418,29091
Yuncheng City,398149,55319,261210,4153,77467
Xinzhou City,164544,22484,107602,1717,32741
Linfen City,310067,40255,236683,2995,30134
Lüliang City,248874,32399,169144,2769,44562
Shanxi Province Proper,14,14,0,0,0
,,,,,
"Note: 1. The data in this table is submitted by insurance companies according to the relevant criteria after the insurance industry implemented the ""Notice on the Accounting Treatment of Insurance Contracts"" (Caihui [2009] No. 15).","Note: 1. The data in this table is submitted by insurance companies according to the relevant criteria after the insurance industry implemented the ""Notice on the Accounting Treatment of Insurance Contracts"" (Caihui [2009] No. 15).","Note: 1. The data in this table is submitted by insurance companies according to the relevant criteria after the insurance industry implemented the ""Notice on the Accounting Treatment of Insurance Contracts"" (Caihui [2009] No. 15).","Note: 1. The data in this table is submitted by insurance companies according to the relevant criteria after the insurance industry implemented the ""Notice on the Accounting Treatment of Insurance Contracts"" (Caihui [2009] No. 15).","Note: 1. The data in this table is submitted by insurance companies according to the relevant criteria after the insurance industry implemented the ""Notice on the Accounting Treatment of Insurance Contracts"" (Caihui [2009] No. 15).","Note: 1. The data in this table is submitted by insurance companies according to the relevant criteria after the insurance industry implemented the ""Notice on the Accounting Treatment of Insurance Contracts"" (Caihui [2009] No. 15)."
2. The above data is sourced from the insurance data submitted by each company and has not been audited.,,,,,
"3. Due to rounding in calculations and unit conversions, the sum of the regions may differ slightly from the total.","3. Due to rounding in calculations and unit conversions, the sum of the regions may differ slightly from the total.","3. Due to rounding in calculations and unit conversions, the sum of the regions may differ slightly from the total.","3. Due to rounding in calculations and unit conversions, the sum of the regions may differ slightly from the total.","3. Due to rounding in calculations and unit conversions, the sum of the regions may differ slightly from the total.","3. Due to rounding in calculations and unit conversions, the sum of the regions may differ slightly from the total."
