Grade,Domain,Area,Student Group,State Count,State Domain Score
9-11,Career Connected Learning,--,All Students,33305,65
9-11,Career Connected Learning,--,Female,16920,67
9-11,Career Connected Learning,--,Male,16115,64
9-11,Career Connected Learning,--,Nonbinary,270,64
9-11,Career Connected Learning,--,American Indian/Alaska Native,305,65
9-11,Career Connected Learning,--,Asian,1842,68
9-11,Career Connected Learning,--,Black/African American,550,68
9-11,Career Connected Learning,--,Hispanic/Latino/a/x,7883,67
9-11,Career Connected Learning,--,Multiracial,2451,64
9-11,Career Connected Learning,--,Native Hawaiian/Pacific Islander,188,70
9-11,Career Connected Learning,--,White,20086,65
9-11,Career Connected Learning,--,English Learner,2759,67
9-11,Career Connected Learning,--,Students With Disabilities,3514,64
9-11,Career Connected Learning,--,Experiencing Poverty,8000,66
9-11,Career Connected Learning,--,Experiencing Homelessness,818,66
9-11,Career Connected Learning,--,In Migrant Education,636,68
9-11,Career Connected Learning,--,Recent Arriver,501,70
9-11,Career Connected Learning,--,In Foster Care,122,69
