Grade,Domain,Area,Student Group,State Count,State Domain Score
4,Opportunity to Learn,Mathematics,All Students,24497,69
4,Opportunity to Learn,Mathematics,Female,12289,70
4,Opportunity to Learn,Mathematics,Male,12160,67
4,Opportunity to Learn,Mathematics,Nonbinary,48,70
4,Opportunity to Learn,Mathematics,American Indian/Alaska Native,216,67
4,Opportunity to Learn,Mathematics,Asian,1143,70
4,Opportunity to Learn,Mathematics,Black/African American,538,68
4,Opportunity to Learn,Mathematics,Hispanic/Latino/a/x,6082,67
4,Opportunity to Learn,Mathematics,Multiracial,1982,70
4,Opportunity to Learn,Mathematics,Native Hawaiian/Pacific Islander,174,65
4,Opportunity to Learn,Mathematics,White,14362,69
4,Opportunity to Learn,Mathematics,English Learner,4316,67
4,Opportunity to Learn,Mathematics,Students With Disabilities,3780,65
4,Opportunity to Learn,Mathematics,Experiencing Poverty,8034,67
4,Opportunity to Learn,Mathematics,Experiencing Homelessness,727,65
4,Opportunity to Learn,Mathematics,In Migrant Education,453,67
4,Opportunity to Learn,Mathematics,Recent Arriver,534,64
4,Opportunity to Learn,Mathematics,In Foster Care,123,66
5,Opportunity to Learn,Science,All Students,26362,57
5,Opportunity to Learn,Science,Female,13223,58
5,Opportunity to Learn,Science,Male,13086,56
5,Opportunity to Learn,Science,Nonbinary,53,59
5,Opportunity to Learn,Science,American Indian/Alaska Native,218,56
5,Opportunity to Learn,Science,Asian,1198,61
5,Opportunity to Learn,Science,Black/African American,589,58
5,Opportunity to Learn,Science,Hispanic/Latino/a/x,6865,57
5,Opportunity to Learn,Science,Multiracial,2060,58
5,Opportunity to Learn,Science,Native Hawaiian/Pacific Islander,212,59
5,Opportunity to Learn,Science,White,15220,57
5,Opportunity to Learn,Science,English Learner,5089,57
5,Opportunity to Learn,Science,Students With Disabilities,3885,54
5,Opportunity to Learn,Science,Experiencing Poverty,8577,56
5,Opportunity to Learn,Science,Experiencing Homelessness,779,54
5,Opportunity to Learn,Science,In Migrant Education,520,56
5,Opportunity to Learn,Science,Recent Arriver,509,57
5,Opportunity to Learn,Science,In Foster Care,122,58
6,Opportunity to Learn,English Language Arts,All Students,21901,78
6,Opportunity to Learn,English Language Arts,Female,10999,80
6,Opportunity to Learn,English Language Arts,Male,10831,76
6,Opportunity to Learn,English Language Arts,Nonbinary,71,80
6,Opportunity to Learn,English Language Arts,American Indian/Alaska Native,171,74
6,Opportunity to Learn,English Language Arts,Asian,1064,83
6,Opportunity to Learn,English Language Arts,Black/African American,460,77
6,Opportunity to Learn,English Language Arts,Hispanic/Latino/a/x,5721,77
6,Opportunity to Learn,English Language Arts,Multiracial,1724,78
6,Opportunity to Learn,English Language Arts,Native Hawaiian/Pacific Islander,208,78
6,Opportunity to Learn,English Language Arts,White,12553,78
6,Opportunity to Learn,English Language Arts,English Learner,3629,75
6,Opportunity to Learn,English Language Arts,Students With Disabilities,2828,71
6,Opportunity to Learn,English Language Arts,Experiencing Poverty,6734,76
6,Opportunity to Learn,English Language Arts,Experiencing Homelessness,632,72
6,Opportunity to Learn,English Language Arts,In Migrant Education,460,75
6,Opportunity to Learn,English Language Arts,Recent Arriver,422,70
6,Opportunity to Learn,English Language Arts,In Foster Care,102,74
7,Opportunity to Learn,Mathematics,All Students,20440,71
7,Opportunity to Learn,Mathematics,Female,10304,73
7,Opportunity to Learn,Mathematics,Male,10041,70
7,Opportunity to Learn,Mathematics,Nonbinary,95,67
7,Opportunity to Learn,Mathematics,American Indian/Alaska Native,173,67
7,Opportunity to Learn,Mathematics,Asian,1010,76
7,Opportunity to Learn,Mathematics,Black/African American,386,70
7,Opportunity to Learn,Mathematics,Hispanic/Latino/a/x,5206,70
7,Opportunity to Learn,Mathematics,Multiracial,1553,72
7,Opportunity to Learn,Mathematics,Native Hawaiian/Pacific Islander,186,70
7,Opportunity to Learn,Mathematics,White,11926,72
