Grade,Domain,Area,Student Group,State Count,State Domain Score
7-8,Well-Rounded Education,--,All Students,34470,59
7-8,Well-Rounded Education,--,Female,17501,59
7-8,Well-Rounded Education,--,Male,16816,58
7-8,Well-Rounded Education,--,Nonbinary,153,56
7-8,Well-Rounded Education,--,American Indian/Alaska Native,277,57
7-8,Well-Rounded Education,--,Asian,1765,66
7-8,Well-Rounded Education,--,Black/African American,602,58
7-8,Well-Rounded Education,--,Hispanic/Latino/a/x,8317,60
7-8,Well-Rounded Education,--,Multiracial,2596,58
7-8,Well-Rounded Education,--,Native Hawaiian/Pacific Islander,290,66
7-8,Well-Rounded Education,--,White,20623,58
7-8,Well-Rounded Education,--,English Learner,4082,62
7-8,Well-Rounded Education,--,Students With Disabilities,3853,59
7-8,Well-Rounded Education,--,Experiencing Poverty,9511,58
7-8,Well-Rounded Education,--,Experiencing Homelessness,917,58
7-8,Well-Rounded Education,--,In Migrant Education,633,60
7-8,Well-Rounded Education,--,Recent Arriver,562,63
7-8,Well-Rounded Education,--,In Foster Care,118,58
9-11,Well-Rounded Education,--,All Students,32283,69
9-11,Well-Rounded Education,--,Female,16436,70
9-11,Well-Rounded Education,--,Male,15586,68
9-11,Well-Rounded Education,--,Nonbinary,261,72
9-11,Well-Rounded Education,--,American Indian/Alaska Native,303,64
9-11,Well-Rounded Education,--,Asian,1815,75
9-11,Well-Rounded Education,--,Black/African American,530,70
9-11,Well-Rounded Education,--,Hispanic/Latino/a/x,7545,68
9-11,Well-Rounded Education,--,Multiracial,2380,68
9-11,Well-Rounded Education,--,Native Hawaiian/Pacific Islander,174,71
9-11,Well-Rounded Education,--,White,19536,68
9-11,Well-Rounded Education,--,English Learner,2588,67
9-11,Well-Rounded Education,--,Students With Disabilities,3347,65
9-11,Well-Rounded Education,--,Experiencing Poverty,7633,66
9-11,Well-Rounded Education,--,Experiencing Homelessness,788,64
9-11,Well-Rounded Education,--,In Migrant Education,606,67
9-11,Well-Rounded Education,--,Recent Arriver,472,69
9-11,Well-Rounded Education,--,In Foster Care,114,67
