Unnamed: 0,Unnamed: 1,"If insurer is not listed, please contact Special Funds."
,,
,,
Group,W Nbr,Insurer Name
C,R000000013,EASTERN AIRLINES
C,R000002,CITICORP
C,R000003,ALLIED AUTOMOTIVE GROUP
C,R000004,US AIRWAYS
C,R000005,JOHNSON CONTROLS INC
C,R000006,UNISYS CORPORATION
C,R000007,LABOR READY INC
C,R000008,UNITY HEALTH SYSTEMS
C,R000009,DAUGHTERS OF CHARITY NATIONAL HEALTH SYS
C,R000010,HEALTH SYSTEM OF NIAGARA INC
C,R000011,CCL INDUSTRIES CORPORATION
C,R000012,COASTAL CORPORATION
C,R000013,METRO
C,R1000057,TRANS WORLD AIRLINES INC
C,R1000061,NORTHWEST AIRLINES INC
C,R1000077,THE FLYING TIGER LINE
C,R1053673,ARAMARK CORPORATION
A,R1063678,DAIMLER TRUCKS NORTH AMERICA LLC
C,R1101222,MCAULEY RESIDENCE
C,R1115340,KRAFT FOODS INC
C,R1148749,INTERSTATE BRANDS CORP
C,R1187744,SYSCO FROSTED FOODS INC
C,R1200123,THE HILLSHIRE BRANDS COMPANY
C,R1202098,BROWN GROUP INC
C,R1202861,PICK QUICK FOODS INC
C,R1212271,HERSHEY FOODS CORPORATION
C,R1212322,JOHNSON CONTROLS INC
C,R1239790,SEARS ROEBUCK & CO
C,R1277804,BURNS INTERNATIONAL SECURITY SVCS CORP
C,R1292657,HERENDEEN BROS HARDWARE CORP
C,R1300753,PIZZA HUT OF AMERICA INC
C,R1321488,HAGER'S PETER PAN FLORIST
C,R1358499,LOWES HOME CENTERS INC
C,R1387252,GOVERNMENT EMPLOYEES INSURANCE CO
C,R1412117,CINTAS CORP
C,R1427015,GENESEE MANAGEMENT INC
C,R1444352,TEXACO INC
C,R1447428,QW NEW YORK CORP
C,R1450648,RANDSTAD INC
C,R1476920,KRAFT FOODS GROUP INC
C,R1485899,CRACKER BARREL OLD COUNTRY STORE INC
C,R1491272,STAFFING CONCEPTS
C,R1504829,QUEENS-LONG ISLAND MEDICAL GROUP PC
C,R1513371,MACK TRUCK SALES OF QUEENS
C,R1528618,HC WATSON CORPORATION
C,R1531416,HAMPSHIRE CHEMICAL CORP
C,R1544698,WASTE MANAGEMENT INC
C,R1553677,FREEMAN DECORATING COMPANY
C,R1581564,PHOENIX BEVERAGES INC
C,R1587642,BYK USA INC
C,R1591698,KINNEY SYSTEM INC
C,R1599599,COASTAL OIL OF NY INC
C,R1602083,BUFFALO PAPER BOARD
C,R1616877,NEW YORK JETS FOOTBALL CLUB INC
C,R1652865,CARDINAL HEALTH 200 LLC
C,R1665195,ALLIED AUTOMOTIVE GROUP
C,R1678290,CARLSON HOLDING INC
C,R1692220,FERREL GAS INC
C,R1728605,CIPRETTI- TOLISANO ASSOC INC
C,R177370,EURO BROKERS DATA INC
C,R1776844,FRIGIDAIRE HOME PRODUCTS
C,R1790185,BLUE CIRCLE MATERIALS
C,R1794073,CCL PLASTICS
C,R1951422,SPEEDY MUFFLER
C,R2068440,AMERICAN HOME PRODUCTS CORP
C,R2160213,DAY AND ZIMMERMAN INC
C,R2715111,UNITY HEALTH SYSTEM
C,R314842,KENMORE MERCY HOSPITAL
