"Refer to Workers' Compensation Law 15(8) and Board Subject Number 046-1063R for the applicable law, rules and regulations.  For more information, visit our webpage at http://www.wcb.ny.gov/content/main/special-disability-fund/#sdf-reimbursement. ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
,,,,
"To be paid, make sure information is updated in the Statewide Financial System and an email has been sent to SpecialFunds@wcb.ny.gov with the payment information.",,,,
"
The form allows up to 1,000 entries. If the reimbursement request for a claim will not fit in a single entry (i.e.; multiple beneficiaries and/or multiple payment rates) then multiple entries should be made for the claim.  ",,,,
"Submissions must be emailed to SpecialFunds@wcb.ny.gov on the proper C-251 form with ""Indemnity Reimbursement"" in the subject line. All supporting documentation must be included as attachments and may not be submitted separately. Submissions must be sent according to the Submission Schedule. The submission may be rejected and no reimbursement issued if these instructions are not followed or if alterations are made to the reimbursement form.  To ensure timely submission and to avoid rejection of reimbursement requests, the following fields must be accurate: WCB #, W#, insurer name, claim administrator, and program type (e.g., 14(6) or 15(8)). ",,,,
"INDEMNITY ONLY SETTLEMENTS: Submit one stand-alone C-251 form with the last indemnity reimbursement request on the first line with all the required fields completed. On the second line, complete all the required fields. For the “begin date” and the “end date,” input the date of the notice of approval if there was a settlement hearing and if there was a desk decision, input the date indicated in the proposed decision. In the “other” column, input the indemnity settlement reimbursement amount (with the attorney fee if applicable) and in the “comments” column, input IND32 without any spacing. ",,,,
"FULL AND FINAL SETTLEMENTS (INDEMNITY AND MEDICAL): Submit one stand-alone C-251 form with the last indemnity reimbursement request on the first line with all required fields completed. On the second line, complete all the required fields. For the “begin date” and the “end date,” input the date of the notice of approval if there was a settlement hearing and if there was a desk decision, input the date indicated in the proposed decision. In the “other” column, input the indemnity settlement reimbursement amount (with the attorney fee if applicable) and in the “comments” column, input IND32 without any spacing. 
On the third line, complete all the required fields. For the “begin date” and the “end date,” input the date of the notice of approval if there was a settlement hearing and if there was a desk decision, input the date indicated in the proposed decision. In the “other” column, input the medical settlement reimbursement amount and in the “comments” column, input MED32 without any spacing. ",,,,
"REIMBURSEMENT OF ""MEDICAL ONLY"" SETTLEMENTS: Submit one stand-alone C-251 form and complete all the required fields. For the “begin date” and the “end date,” input the date of the notice of approval if there was a settlement hearing and if there was a desk decision, input the date indicated in the proposed decision. In the ""other"" column, input the medical settlement reimbursement amount and in the “comments” column, input MED32 without any spacing.   If there is an attorney fee, complete all the required fields. For the “begin date” and the “end date,” input the date of the notice of approval if there was a settlement hearing and if there was a desk decision, input the date indicated in the proposed decision. In the “other” column, input the attorney fee and in the “comments” column, input IND32 without any spacing.",,,,
"All blue fields are required and the white fields will autopopulate based on data entered in the blue fields.
  
N/A is not accepted in any field

For date fields, use the format: mm/dd/yy
",,,,
,,,,
SUBMISSION INFORMATION,,,,
The following form header information applies to all claims within the submission:,,,,
Program – Select either 14(6) Concurrent Employment or 15(8) Second Injury [REQUIRED],,,,
"Insurer ID – Enter or select the WCB-assigned Insurer Code (""W Number"") for the insurer that is responsible for the claims and seeking reimbursement; this entity must be identified as a Party of Interest (POI) on each claim in the WCB case folder [REQUIRED]",,,,
Insurer Name – Will autopopulate based on the insurer code,,,,
"Claim Administrator – Enter the name of the entity that is administering the claims and will receive the reimbursement; this entity must be identified as a POI on each claim in eCase. If self-administered, enter the name of the insurer.  Payment will be directed to the address provided to the Special Funds Group [REQUIRED]",,,,
Contact Name – Enter the name of the person that the Special Funds Group may contact with any issues [REQUIRED],,,,
Phone Number – Enter the professional phone number for the contact [REQUIRED],,,,
Email Address – Enter the professional email address for the contact [REQUIRED],,,,
Submit Date – Enter the date the form is being submitted [REQUIRED],,,,
Begin Date – The form will autopopulate the earliest date on the submission,,,,
End Date – The form will autopopulate the latest day on the submission,,,,
Count – The form will calculate the number of entries in the submission,,,,
Total – The form will calculate the total dollar amount requested in the submission,,,,
,,,,
CLAIM INFORMATION,,,,
WCB Case Number – Enter the claim number assigned by the WCB.  This number should be entered as it appears in eCase with no spaces or extra characters [REQUIRED],,,,
Claim Admin Claim Number – Enter the claim number assigned by the insurer [OPTIONAL],,,,
Claimant Name – Enter the name of the claimant corresponding to the WCB Case Number [REQUIRED],,,,
Beneficiary Name – Enter the name of the person receiving the indemnity benefits (if someone other than the claimant) [OPTIONAL],,,,
