Table5-8-Region-Region-Region,Workingpopulationinvariousregionscategorizedbygenderandworkinghoursintheweekbeforethesurvey-Workingpopulation-Workingpopulation-（1）,Worktimeinoneweek-1—9-（2）,Worktimeinoneweek-10—19-（3）,Worktimeinoneweek-20-39-（4）,Worktimeinoneweek-40-（5）,Worktimeinoneweek-41-47-（6）,Worktimeinoneweek-48-（7）,Unit:Person-Worktimeinoneweek-48+-（8）,Averageweeklyworkinghours(hours)-Averageweeklyworkinghours(hours)-（9）
Total,337019,1669,10986,81383,105608,16225,17146,104002,42
Changsha City,31806,50,612,5203,14850,1215,2246,7630,42
Zhuzhou City,21239,77,481,5130,5610,1334,1585,7022,43
Xiangtan City,17250,125,959,3689,4923,740,1449,5365,42
Hengyang City,36146,70,981,11653,11889,2008,2209,7336,39
Shaoyang City,34147,131,1189,7949,7113,1645,1613,14507,44
Yueyang City,25663,40,746,5690,11229,695,1023,6240,41
Changde City,29128,194,867,6879,8223,1612,1075,10278,42
Zhangjiajie City,8890,33,526,3105,2539,486,333,1868,37
Yiyang City,21024,377,2183,6360,6032,780,537,4755,37
Chenzhou City,27354,273,401,5748,9002,1790,1537,8603,43
Yongzhou City,25948,23,349,4509,7274,1900,1426,10467,45
Huaihua City,26185,170,670,7786,6676,1208,1044,8631,42
Loudi City,18611,103,908,5922,7013,387,512,3766,38
Xiangxi Tujia and Miao Autonomous Prefecture,13628,3,114,1760,3235,425,557,7534,48
Male total,187771,796,4582,36274,61578,9429,10283,64829,43
Changsha City,18599,24,208,2536,8771,745,1355,4960,43
Zhuzhou City,11563,45,185,2053,3253,736,911,4380,44
Xiangtan City,9500,57,422,1676,2942,380,879,3144,43
Hengyang City,19651,32,360,5028,7000,1214,1325,4692,41
Shaoyang City,18495,61,436,3424,3949,860,970,8795,46
Yueyang City,15090,16,302,2694,6897,461,634,4086,42
Changde City,16036,82,334,3033,4754,879,639,6315,44
Zhangjiajie City,4696,21,184,1473,1349,297,208,1164,39
Yiyang City,12495,189,1121,3249,3798,532,374,3232,39
Chenzhou City,15365,143,177,2314,5152,1081,935,5563,44
Yongzhou City,13983,11,117,1797,3883,1049,682,6444,47
Huaihua City,14753,64,330,3581,3863,717,653,5545,44
Loudi City,10253,49,374,2743,4195,225,351,2316,39
Xiangxi Tujia and Miao Autonomous Prefecture,7292,2,32,673,1772,253,367,4193,49
Female total,149248,873,6404,45109,44030,6796,6863,39173,40
Changsha City,13207,26,404,2667,6079,470,891,2670,41
Zhuzhou City,9676,32,296,3077,2357,598,674,2642,40
Xiangtan City,7750,68,537,2013,1981,360,570,2221,40
Hengyang City,16495,38,621,6625,4889,794,884,2644,37
Shaoyang City,15652,70,753,4525,3164,785,643,5712,42
Yueyang City,10573,24,444,2996,4332,234,389,2154,39
Changde City,13092,112,533,3846,3469,733,436,3963,40
Zhangjiajie City,4194,12,342,1632,1190,189,125,704,35
Yiyang City,8529,188,1062,3111,2234,248,163,1523,34
Chenzhou City,11989,130,224,3434,3850,709,602,3040,41
Yongzhou City,11965,12,232,2712,3391,851,744,4023,43
Huaihua City,11432,106,340,4205,2813,491,391,3086,39
Loudi City,8358,54,534,3179,2818,162,161,1450,36
Xiangxi Tujia and Miao Autonomous Prefecture,6336,1,82,1087,1463,172,190,3341,46
