Table5-9-Age-Age,Workingpopulationinvariousregionscategorizedbygenderandworkinghoursintheweekbeforethesurvey-Workingpopulation-Workingpopulation,Workinghoursinaweek-1—9,Workinghoursinaweek-10—19,Workinghoursinaweek-20-39,Workinghoursinaweek-40,Workinghoursinaweek-41-47,Workinghoursinaweek-48,Unit:Person-Workinghoursinaweek-48+,Averageweeklyworkinghours(hours)-Averageweeklyworkinghours(hours)
Age,（1）,（2）,（3）,（4）,（5）,（6）,（7）,（8）,（9）
Total,337019,1669,10986,81383,105608,16225,17146,104002,42
16-19,12965,40,410,3404,3679,631,792,4009,41
20-24,26438,108,738,5810,8603,1301,1780,8098,42
25-29,29094,103,660,5703,10362,1302,1832,9132,43
30-34,43222,141,1140,8693,14694,2001,2554,13999,43
35-39,55613,179,1420,11780,17971,2726,2960,18577,43
40-44,49558,193,1160,10512,16467,2495,2418,16313,43
45-49,34310,177,920,7842,11000,1779,1666,10926,42
50-54,36515,169,1236,9825,11038,1723,1555,10969,41
55-59,24315,214,1124,7509,6458,1183,897,6930,40
60-64,12519,128,855,4723,2938,594,389,2892,37
65-69,8107,108,718,3525,1699,355,212,1490,35
70 and above,4363,109,605,2057,699,135,91,667,31
Male total,187771,796,4582,36274,61578,9429,10283,64829,43
16-19,6743,20,201,1791,1925,354,366,2086,41
20-24,13410,60,252,2477,4391,710,943,4577,44
25-29,15483,49,224,2336,5683,724,1034,5433,44
30-34,23128,62,446,3340,8195,1126,1476,8483,45
35-39,29506,66,510,4398,10059,1475,1760,11238,45
40-44,26640,79,366,4024,9458,1361,1422,9930,45
45-49,19207,76,313,3183,6453,1042,1082,7058,44
50-54,21487,87,480,4358,7088,1048,1044,7382,43
55-59,15149,117,494,3749,4473,784,637,4895,42
60-64,8196,56,461,2758,2072,437,298,2114,39
65-69,5684,63,438,2371,1262,252,156,1142,36
70 and above,3138,61,397,1489,519,116,65,491,32
Female total,149248,873,6404,45109,44030,6796,6863,39173,40
16-19,6222,20,209,1613,1754,277,426,1923,42
20-24,13028,48,486,3333,4212,591,837,3521,41
25-29,13611,54,436,3367,4679,578,798,3699,41
30-34,20094,79,694,5353,6499,875,1078,5516,41
35-39,26107,113,910,7382,7912,1251,1200,7339,41
40-44,22918,114,794,6488,7009,1134,996,6383,41
45-49,15103,101,607,4659,4547,737,584,3868,40
50-54,15028,82,756,5467,3950,675,511,3587,38
55-59,9166,97,630,3760,1985,399,260,2035,36
60-64,4323,72,394,1965,866,157,91,778,34
65-69,2423,45,280,1154,437,103,56,348,32
70 and above,1225,48,208,568,180,19,26,176,29
