"YuanjiangCountyWaterConservancyIrrigationDistrictAdministrationBureau2017–2019County-OwnedWaterConservancyEngineeringWaterSupplyBasicInformationTable(Table2)-Unit:10,000yuan-Item","YuanjiangCountyWaterConservancyIrrigationDistrictAdministrationBureau2017–2019County-OwnedWaterConservancyEngineeringWaterSupplyBasicInformationTable(Table2)-Unit:10,000yuan-Item.1","YuanjiangCountyWaterConservancyIrrigationDistrictAdministrationBureau2017–2019County-OwnedWaterConservancyEngineeringWaterSupplyBasicInformationTable(Table2)-Unit:10,000yuan-Item.2","YuanjiangCountyWaterConservancyIrrigationDistrictAdministrationBureau2017–2019County-OwnedWaterConservancyEngineeringWaterSupplyBasicInformationTable(Table2)-Unit:10,000yuan-Rownumber","YuanjiangCountyWaterConservancyIrrigationDistrictAdministrationBureau2017–2019County-OwnedWaterConservancyEngineeringWaterSupplyBasicInformationTable(Table2)-Unit:10,000yuan-DeclaredValue","YuanjiangCountyWaterConservancyIrrigationDistrictAdministrationBureau2017–2019County-OwnedWaterConservancyEngineeringWaterSupplyBasicInformationTable(Table2)-Unit:10,000yuan-DeclaredValue.1","YuanjiangCountyWaterConservancyIrrigationDistrictAdministrationBureau2017–2019County-OwnedWaterConservancyEngineeringWaterSupplyBasicInformationTable(Table2)-Unit:10,000yuan-DeclaredValue.2","YuanjiangCountyWaterConservancyIrrigationDistrictAdministrationBureau2017–2019County-OwnedWaterConservancyEngineeringWaterSupplyBasicInformationTable(Table2)-Unit:10,000yuan-DeclaredValue.3","YuanjiangCountyWaterConservancyIrrigationDistrictAdministrationBureau2017–2019County-OwnedWaterConservancyEngineeringWaterSupplyBasicInformationTable(Table2)-Unit:10,000yuan-Remarks",Unnamed: 9,Unnamed: 10,Unnamed: 11,YuanjiangCountyWaterConservancyIrrigationDistrictAdministrationBureau2017-2019County-OwnedWaterConservancyProjectWaterSupplyPricingCostCalculationTable
Item,Item,Item,Row number,2017,2018,2019,Three-Year Average,Remarks,,,,
"Assets, Liabilities, and Owner's Equity","Assets, Liabilities, and Owner's Equity","Assets, Liabilities, and Owner's Equity",1,,,,,,,,,
(One),Assets,Assets,2,,,,,,,,,
1,Net Fixed Assets,Net Fixed Assets,3,,,,,,,,,
,Among them: original value of fixed assets,Among them: original value of fixed assets,4,33214,33715,34461,,,,,,
,Accumulated Depreciation,Accumulated Depreciation,5,19454,19702,19955,,,,,,
2,Current Assets,Current Assets,6,937,1432,997,,,,,,
3,Under Construction Projects,Under Construction Projects,7,,36,155,,,,,,
(II),Liabilities,Liabilities,8,709,1187,902,,,,,,
(Three),Owner's Equity (Net Assets),Owner's Equity (Net Assets),9,,,,,,,,,
,Paid-in Capital,Paid-in Capital,10,,,,,,,,,
,Capital Reserve Fund,Capital Reserve Fund,11,,,,,,,,,
,Surplus Reserve Fund,Surplus Reserve Fund,12,,,,,,,,,
,Undistributed Profit,Undistributed Profit,13,,,,,,,,,
II. Revenue and Expenditure Situation,II. Revenue and Expenditure Situation,II. Revenue and Expenditure Situation,14,,,,,,,,,
(One),Beginning balance of fiscal special account at year-beginning,Beginning balance of fiscal special account at year-beginning,15,,,,,,,,,
Add,Raw Water Revenue (Special Account Revenue from Fiscal Allocation This Year),Raw Water Revenue (Special Account Revenue from Fiscal Allocation This Year),16,,,,,,,,,
Minus,Extract water source protection special funds,Extract water source protection special funds,17,,,,,,,,,
,Financially Coordinated Funds,Financially Coordinated Funds,18,,,,,,,,,
(II),Total Reservoir Revenue,Total Reservoir Revenue,19,1891,2005,1893,,,,,,
1,Water fee revenue (fiscal allocation for the current year),Water fee revenue (fiscal allocation for the current year),20,,,,,,,,,
2,Other Income,Other Income,21,,,,,,,,,
3,Special funds allocated,Special funds allocated,22,,,,,,,,,
Appendix,Year-end fiscal special account balance,Year-end fiscal special account balance,23,,,,,,,,,
