"YuanjiangCountyWaterConservancyIrrigationDistrictAdministrationBureau2017-2019County-OwnedWaterConservancyProjectWaterSupplyPricingCostCalculationTable(Table1)-Unit:10,000yuan-Item-Item","YuanjiangCountyWaterConservancyIrrigationDistrictAdministrationBureau2017-2019County-OwnedWaterConservancyProjectWaterSupplyPricingCostCalculationTable(Table1)-Unit:10,000yuan-Rownumber-Rownumber","YuanjiangCountyWaterConservancyIrrigationDistrictAdministrationBureau2017-2019County-OwnedWaterConservancyProjectWaterSupplyPricingCostCalculationTable(Table1)-Unit:10,000yuan-ReportedData-2017","YuanjiangCountyWaterConservancyIrrigationDistrictAdministrationBureau2017-2019County-OwnedWaterConservancyProjectWaterSupplyPricingCostCalculationTable(Table1)-Unit:10,000yuan-ReportedData-2018","YuanjiangCountyWaterConservancyIrrigationDistrictAdministrationBureau2017-2019County-OwnedWaterConservancyProjectWaterSupplyPricingCostCalculationTable(Table1)-Unit:10,000yuan-ReportedData-2019","YuanjiangCountyWaterConservancyIrrigationDistrictAdministrationBureau2017-2019County-OwnedWaterConservancyProjectWaterSupplyPricingCostCalculationTable(Table1)-Unit:10,000yuan-ReportedData-Three-YearAverage","YuanjiangCountyWaterConservancyIrrigationDistrictAdministrationBureau2017-2019County-OwnedWaterConservancyProjectWaterSupplyPricingCostCalculationTable(Table1)-Unit:10,000yuan-Remarks-Remarks"
I. Total Operating Costs,1,,,,,
(1) Total Personnel Expenses,2,,,,,
1. Salary,3,1189.3,1321.0,1186.0,,
2. Professional Annuity and Trade Union Funds,4,78.0,84.0,81.0,,
"3. Social insurance fees (pension, medical, unemployment, etc.)",5,277.3,297.0,268.0,,
4. Housing Provident Fund,6,149.0,155.0,155.0,,
5. Salaries of canal contracting personnel,7,96.5,101.0,99.0,,
(II) Daily Public Expenses,8,,,,,
1. Office expenses,9,6.1,9.0,11.0,,
2. Routine Repair Expenses,10,5.0,7.0,4.0,,
3. Business Reception Expenses,11,1.0,0.0,0.0,,"The business hospitality expenses calculated as 5‰ of the total income are greater than the actual amount incurred, so they are verified based on the actual figures."
4. Electricity and water fees,12,5.0,5.0,6.0,,
5. Vehicle Usage Fee,13,8.0,8.0,7.0,,
6. Travel expenses,14,3.0,4.0,2.0,,
7. Office Equipment Purchase Expenses and Litigation Fees,15,3.97,7.0,0.0,,"Deduct 145,100 yuan of compensation for the Liujiawa case in 2017."
8. Handling Fee,16,4.0,7.0,4.0,,
9. Labor Fees,17,0.0,28.0,0.0,9.34,
10. Other Expenses,18,19.0,34.0,0.0,,
(3) Maintenance Cost,19,195.0,200.0,69.0,,
II. Major Repair Expenses for Fixed Assets,20,,,,,Calculated at 1.4% of the fixed asset value
1. Major repair expenses of fixed assets on the books,21,197.0,197.0,207.0,,
2. Major repair expenses for fixed assets that have been used but not yet transferred,22,263.0,263.0,252.6,,Used but not yet transferred assets
"Three, Annual Depreciation of Fixed Assets",23,1011.0,990.0,972.0,991.0,
Four. Total Cost and Expenses (Items One to Three),24,,,,,
1. Cost for Public Service Responsibilities (13.96%),25,,,,,Allocate according to the results of special audit (proportion)
2. Cost to be borne by non-public welfare production and operation (86.04%),26,,,,,Allocate according to the results of special audit (proportion)
"Five, cost and expenses to be deducted from non-public welfare production and operation links",27,,,,,Total Deduction
1. Expenses for personnel involved in external engineering support projects,28,241.0,191.47,151.32,,
2. Asset Rental Expenses,29,53.78,50.8,56.16,,
Six. Total Cost of Non-Public Welfare Production and Operation,30,,,,,
Among them: 1. Cost to be borne by power generation water supply,31,,,,,44.34%
"2. Non-power generation water supply (domestic, industrial, agricultural) should bear the cost",32,,,,,55.66%
(1) Cost to be borne by industrial water supply,33,,,,,Allocated according to a 0.53% ratio
Industrial Water Supply Cost Allocation Ratio,34,,,,,
(2) Cost to be borne for domestic water supply,35,,,,,Allocated according to 13.56% proportion
Proportion of Cost Allocation for Domestic Water Supply,36,,,,,
(3) Cost to be borne by agricultural water supply,37,,,,,Allocated according to 85.91% proportion
Agricultural Water Supply Cost Allocation Ratio,38,,,,,
"Seven, the actual water supply volume of the reservoir in the current year (original water volume, 10,000 m³)",39,7994.0,7774.0,8195.0,,Audit Data
"Xilahe Reservoir and other non-power generation water supply volumes (10,000 m³)",40,1303.0,1635.0,1540.0,,Audit Data
"Original Power Generation Water Supply Volume (10,000 m³)",41,,,,,Deduct non-power generation water supply such as from Xilahe Reservoir
"Actual water supply for power generation (10,000 m³)",42,,,,,The power generation water supply assurance rate is implemented at 80%.
"Non-power generation original water supply volume (industrial, domestic, and agricultural original water supply volume, 10,000 m³)",43,,,,,
"Among them (1) industrial water supply volume (10,000 m³)",44,37.0,21.5,15.4,,Audit figures
"(2) Domestic water supply (10,000 m³)",45,547.7,599.71,667.1,,Audit figures
"(3) Agricultural water supply volume (10,000 m³)",46,,,,,Back-calculated figure
"Non-power generation actual water supply volume (industrial, domestic, and agricultural actual water supply volume in 10,000 m³)",47,,,,,
"Among them: (1) Industrial water supply volume (10,000 m³)",48,,,,,Industrial water supply assurance rate is implemented at 90%.
"(2) Domestic water supply (10,000 m³)",49,,,,,The assurance rate for domestic water supply is implemented at 95%.
"(3) Agricultural water supply volume (10,000 m³)",50,,,,,
"Eight, Non-power generation water supply comprehensive water sales cost",51,,,,,"Tax-free, excluding tax"
Nine. Classified Water Supply Cost,52,,,,,
